CD_TRATTAMENTO,CD_CONTRIBUTO_RITENUTA,DT_INIZIO_VALIDITA,ID_RIGA,SEGNO,CALCOLO_IMPONIBILE,DT_FINE_VALIDITA,UTCR,UTUV,PG_VER_REC
"T009","ADDCOMRAT","2004-01-01","006","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T010","ADDREGRAT","2004-01-01","003","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T099","STI5M0R","2002-01-01","010","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T099","STI5O0R","2002-01-01","011","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T099","STI7G0R","2002-01-01","012","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T099","STI7K0R","2002-01-01","013","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T099","STI7R0R","2002-01-01","014","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T099","STI7S0R","2002-01-01","015","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T099","STI5H0R","2002-01-01","016","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T099","STI4J58","2002-01-01","017","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T099","STI4L60","2002-01-01","018","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T099","STI4Q65","2002-01-01","019","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T099","STI4R66","2002-01-01","020","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T099","STI5A0R","2002-01-01","021","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T099","STI5B0R","2002-01-01","022","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T099","STI5C0R","2002-01-01","023","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T099","STI5G0R","2002-01-01","024","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T099","STI5I0R","2002-01-01","025","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T099","STI4A49","2002-01-01","026","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T099","STI4D53","2002-01-01","027","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T099","STI4F54","2002-01-01","028","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T099","STI3Q37","2002-01-01","029","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T099","STI3S39","2002-01-01","030","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T099","STI3U41","2002-01-01","031","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T099","STI3W43","2002-01-01","032","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T099","STI3H28","2002-01-01","033","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T099","STI3M33","2002-01-01","034","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T099","STI8U00","2002-01-01","035","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T099","STI5R0R","2002-01-01","036","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T210","STI1013","2010-01-01","070","-","000","2200-12-31","SYSTEM","SYSTEM","1"
"T099","STI5S0R","2002-01-01","037","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T099","STI7H0R","2002-01-01","038","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T099","STI5L0R","2002-01-01","039","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T099","STI5D0R","2002-01-01","040","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T099","STI4C52","2002-01-01","041","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T099","STI8D00","2002-01-01","042","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T099","STI5N0R","2002-01-01","043","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T099","STI7F0R","2002-01-01","044","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T099","STI4M61","2002-01-01","045","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T099","STI3V42","2002-01-01","046","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T099","STI3I29","2002-01-01","047","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T099","STI4V70","2002-01-01","048","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T099","STI5T0R","2002-01-01","049","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T099","STI5U0R","2002-01-01","050","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T099","STI5V0R","2002-01-01","051","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T099","STI5W0R","2002-01-01","052","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T099","STI5X0R","2002-01-01","053","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T099","STI5Y0R","2002-01-01","054","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T099","STI6C0R","2002-01-01","055","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T099","STI4Z75","2002-01-01","056","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T099","STI3A8P","2002-01-01","057","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T099","STI8T0R","2002-01-01","058","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T099","STI8IENEA","2002-01-01","059","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T099","STI2Z2Z","2002-01-01","060","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T099","STI5Z0R","2002-01-01","061","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T099","STI41","2002-01-01","062","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T099","STIW90R","2002-01-01","063","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T099","STI2X7A","2002-01-01","064","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T100","STI8TBNL","2002-01-01","001","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T100","STI4S67","2002-01-01","002","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T100","STI4T68","2002-01-01","003","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T100","STI8E00","2002-01-01","004","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T100","STI8F00","2002-01-01","005","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T100","STI8Q0R","2002-01-01","006","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T100","STI9X0R","2002-01-01","007","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T100","STI5J0R","2002-01-01","008","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"CONG","IRPEFSCA2","2002-01-01","001","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"CONG","ADDREG","2002-01-01","002","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"CONG","ADDPROV","2002-01-01","003","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"CONG","ADDCOM","2002-01-01","004","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T001","IRAP","2002-01-01","001","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T001C","IRAPCOM","2002-01-01","001","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T002","IRPEFSCA1","2002-01-01","002","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T010","ADDPROVRAT","2004-01-01","004","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T002","IRAP","2002-01-01","001","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T002C","IRPEFSCA1","2002-01-01","002","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T002C","IRAPCOM","2002-01-01","001","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T030","IRAP","2002-01-01","001","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T030","INAIL","2002-01-01","002","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T030","INPSB","2002-01-01","003","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T030","IRPEFSCA5","2002-01-01","004","-","-002P-003P","2050-12-31","SYSTEM","SYSTEM","1"
"T030C","IRAPCOM","2002-01-01","001","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T030C","INAIL","2002-01-01","002","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T030C","INPSB","2002-01-01","003","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T030C","IRPEFSCA5","2002-01-01","004","-","-002P-003P","2050-12-31","SYSTEM","SYSTEM","1"
"T031","IRAP","2002-01-01","001","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T031","INAIL","2002-01-01","002","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T031C","IRAPCOM","2002-01-01","002","+","+001E","2050-12-31","SYSTEM","SYSTEM","1"
"T031C","INAIL","2002-01-01","001","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T032","IRAP","2002-01-01","001","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T032","INAIL","2002-01-01","002","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T032","IRPEFSCA9","2002-01-01","003","-","-002P","2050-12-31","SYSTEM","SYSTEM","1"
"T032C","IRAPCOM","2002-01-01","001","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T032C","IRPEFSCA9","2002-01-01","003","-","-002P","2050-12-31","SYSTEM","SYSTEM","1"
"T038","IRAP","2002-01-01","001","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T038C","IRAPCOM","2002-01-01","001","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T038C","INPSA","2002-01-01","002","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T040","INAIL","2002-01-01","002","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T040","IRPEFSCA5","2002-01-01","003","-","-002P","2050-12-31","SYSTEM","SYSTEM","1"
"T040C","IRAPCOM","2002-01-01","003","+","+001E","2050-12-31","SYSTEM","SYSTEM","1"
"T040C","IRPEFSCA5","2002-01-01","002","-","-001P","2050-12-31","SYSTEM","SYSTEM","1"
"T041","IRAP","2002-01-01","001","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T041","IRPEFSCA5","2002-01-01","003","-","-002P","2050-12-31","SYSTEM","SYSTEM","1"
"T041C","IRAPCOM","2002-01-01","001","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T041C","IRPEFSCA5","2002-01-01","003","-","-002P","2050-12-31","SYSTEM","SYSTEM","1"
"T042","RIDUZ","2002-01-01","001","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T042","INAIL","2002-01-01","003","-","-001P","2050-12-31","SYSTEM","SYSTEM","1"
"T042","INPSA","2002-01-01","004","-","-001P","2050-12-31","SYSTEM","SYSTEM","1"
"T042","IRPEFSCA5","2002-01-01","005","-","-001P-003P-004P","2050-12-31","SYSTEM","SYSTEM","1"
"T042C","IRAPCOM","2002-01-01","002","+","-001P","2050-12-31","SYSTEM","SYSTEM","1"
"T042C","INAIL","2002-01-01","003","-","-001P","2050-12-31","SYSTEM","SYSTEM","1"
"T042C","IRPEFSCA5","2002-01-01","005","-","-001P-003P-004P","2050-12-31","SYSTEM","SYSTEM","1"
"T043","INPSB","2002-01-01","001","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T048","IVA","2002-01-01","001","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T048","RAIRPEF","2002-01-01","002","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T049","RAIRPEF2","2002-01-01","002","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T050","IVA","2002-01-01","001","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T050","RAIRPEF3","2002-01-01","002","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T052","RAIRPEF","2002-01-01","001","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T054","IRAP","2002-01-01","001","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T054","RAIRPEFAUT","2002-01-01","002","-","-025%","2050-12-31","SYSTEM","SYSTEM","1"
"T054C","IRAPCOM","2002-01-01","001","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T054C","RAIRPEFAUT","2002-01-01","002","-","-025%","2050-12-31","SYSTEM","SYSTEM","1"
"T055","RAIRPEFAUT","2002-01-01","001","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T082","IRAP","2002-01-01","001","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T082C","IRAPCOM","2002-01-01","001","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T083","IRAP","2002-01-01","001","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T083","IRPEFSCA4","2002-01-01","002","-","000","2050-12-31","SYSTEM","SYSTEM","1"
