PG_NAZIONE,CD_GRUPPO_INQUADRAMENTO,DT_INIZIO_VALIDITA,IM_DIARIA,CD_DIVISA,DT_FINE_VALIDITA,UTCR,UTUV,PG_VER_REC
54,"8","2006-07-04","105.28","EURO","2200-12-31","SYSTEM","SYSTEM","1"
55,"1","2006-07-04","102.99","EURO","2200-12-31","SYSTEM","SYSTEM","1"
55,"2","2006-07-04","109.09","EURO","2200-12-31","SYSTEM","SYSTEM","1"
55,"3","2006-07-04","102.99","EURO","2200-12-31","SYSTEM","SYSTEM","1"
55,"4","2006-07-04","97.65","EURO","2200-12-31","SYSTEM","SYSTEM","1"
55,"5","2006-07-04","83.92","EURO","2200-12-31","SYSTEM","SYSTEM","1"
55,"6","2006-07-04","83.92","EURO","2200-12-31","SYSTEM","SYSTEM","1"
55,"7","2006-07-04","109.09","EURO","2200-12-31","SYSTEM","SYSTEM","1"
55,"8","2006-07-04","109.09","EURO","2200-12-31","SYSTEM","SYSTEM","1"
57,"1","2006-07-04","110.62","EURO","2200-12-31","SYSTEM","SYSTEM","1"
57,"2","2006-07-04","115.96","EURO","2200-12-31","SYSTEM","SYSTEM","1"
57,"3","2006-07-04","110.62","EURO","2200-12-31","SYSTEM","SYSTEM","1"
57,"4","2006-07-04","105.28","EURO","2200-12-31","SYSTEM","SYSTEM","1"
57,"5","2006-07-04","88.5","EURO","2200-12-31","SYSTEM","SYSTEM","1"
57,"6","2006-07-04","88.5","EURO","2200-12-31","SYSTEM","SYSTEM","1"
57,"7","2006-07-04","115.96","EURO","2200-12-31","SYSTEM","SYSTEM","1"
57,"8","2006-07-04","115.96","EURO","2200-12-31","SYSTEM","SYSTEM","1"
58,"1","2006-07-04","94.6","EURO","2200-12-31","SYSTEM","SYSTEM","1"
58,"2","2006-07-04","100.7","EURO","2200-12-31","SYSTEM","SYSTEM","1"
58,"3","2006-07-04","94.6","EURO","2200-12-31","SYSTEM","SYSTEM","1"
58,"4","2006-07-04","88.5","EURO","2200-12-31","SYSTEM","SYSTEM","1"
58,"5","2006-07-04","77.05","EURO","2200-12-31","SYSTEM","SYSTEM","1"
58,"6","2006-07-04","77.05","EURO","2200-12-31","SYSTEM","SYSTEM","1"
58,"7","2006-07-04","100.7","EURO","2200-12-31","SYSTEM","SYSTEM","1"
58,"8","2006-07-04","100.7","EURO","2200-12-31","SYSTEM","SYSTEM","1"
59,"1","2006-07-04","81.63","EURO","2200-12-31","SYSTEM","SYSTEM","1"
59,"2","2006-07-04","86.21","EURO","2200-12-31","SYSTEM","SYSTEM","1"
59,"3","2006-07-04","81.63","EURO","2200-12-31","SYSTEM","SYSTEM","1"
59,"4","2006-07-04","77.05","EURO","2200-12-31","SYSTEM","SYSTEM","1"
59,"5","2006-07-04","66.37","EURO","2200-12-31","SYSTEM","SYSTEM","1"
59,"6","2006-07-04","66.37","EURO","2200-12-31","SYSTEM","SYSTEM","1"
59,"7","2006-07-04","86.21","EURO","2200-12-31","SYSTEM","SYSTEM","1"
59,"8","2006-07-04","86.21","EURO","2200-12-31","SYSTEM","SYSTEM","1"
61,"1","2006-07-04","102.99","EURO","2200-12-31","SYSTEM","SYSTEM","1"
61,"2","2006-07-04","109.09","EURO","2200-12-31","SYSTEM","SYSTEM","1"
61,"3","2006-07-04","102.99","EURO","2200-12-31","SYSTEM","SYSTEM","1"
61,"4","2006-07-04","97.65","EURO","2200-12-31","SYSTEM","SYSTEM","1"
61,"5","2006-07-04","83.92","EURO","2200-12-31","SYSTEM","SYSTEM","1"
61,"6","2006-07-04","83.92","EURO","2200-12-31","SYSTEM","SYSTEM","1"
61,"7","2006-07-04","109.09","EURO","2200-12-31","SYSTEM","SYSTEM","1"
61,"8","2006-07-04","109.09","EURO","2200-12-31","SYSTEM","SYSTEM","1"
62,"1","2006-07-04","106.8","EURO","2200-12-31","SYSTEM","SYSTEM","1"
62,"2","2006-07-04","111.38","EURO","2200-12-31","SYSTEM","SYSTEM","1"
62,"3","2006-07-04","106.8","EURO","2200-12-31","SYSTEM","SYSTEM","1"
62,"4","2006-07-04","101.46","EURO","2200-12-31","SYSTEM","SYSTEM","1"
62,"5","2006-07-04","88.5","EURO","2200-12-31","SYSTEM","SYSTEM","1"
62,"6","2006-07-04","88.5","EURO","2200-12-31","SYSTEM","SYSTEM","1"
62,"7","2006-07-04","111.38","EURO","2200-12-31","SYSTEM","SYSTEM","1"
62,"8","2006-07-04","111.38","EURO","2200-12-31","SYSTEM","SYSTEM","1"
63,"1","2006-07-04","141.9","EURO","2200-12-31","SYSTEM","SYSTEM","1"
63,"2","2006-07-04","149.53","EURO","2200-12-31","SYSTEM","SYSTEM","1"
63,"3","2006-07-04","141.9","EURO","2200-12-31","SYSTEM","SYSTEM","1"
63,"4","2006-07-04","135.79","EURO","2200-12-31","SYSTEM","SYSTEM","1"
63,"5","2006-07-04","115.19","EURO","2200-12-31","SYSTEM","SYSTEM","1"
63,"6","2006-07-04","115.19","EURO","2200-12-31","SYSTEM","SYSTEM","1"
63,"7","2006-07-04","149.53","EURO","2200-12-31","SYSTEM","SYSTEM","1"
63,"8","2006-07-04","149.53","EURO","2200-12-31","SYSTEM","SYSTEM","1"
64,"1","2006-07-04","102.99","EURO","2200-12-31","SYSTEM","SYSTEM","1"
64,"2","2006-07-04","108.33","EURO","2200-12-31","SYSTEM","SYSTEM","1"
64,"3","2006-07-04","102.99","EURO","2200-12-31","SYSTEM","SYSTEM","1"
64,"4","2006-07-04","97.65","EURO","2200-12-31","SYSTEM","SYSTEM","1"
