ABI,DS_ABI,TIPO
"08869","BANCA CREDITO COOP.DI SORISOLE","A"
"08871","C.R.A. DI SPELLO E BETTONA","A"
"08872","BANCA CR.COOP.SPEZZANO ALBANESE","A"
"08873","BANCA CRED.COOP.DI SPINAZZOLA","A"
"08877","C.R.A. DI STARANZANO","A"
"08878","BANCA DI CRED.COOP. DI STIA","A"
"08881","CREDITO COOP. BOLOGNESE SCRL","A"
"08883","BANCA DI BOLOGNA CREDITO COOP.","A"
"08884","C.R.A. DI SANTA ELISABETTA","A"
"08885","BANCA CRED.COOP. DI SOVICILLE","A"
"08887","C.R.A. DI S.CALOGERO","A"
"08888","BCC DI S.GIORGIO LUCANO NOVA S.","A"
"08889","B.C.COOP.S.NICOLA L'ARENA TRABIA","A"
"08890","C.R.A. TEATINA","A"
"08892","BANCA C.C.DUE MARI T.SIBARI","A"
"08894","BANCA CREDITO COOP.DELLA CARNIA","A"
"08895","BANCA CRED.COOP. DI TOLVE","A"
"08899","BCC DI TREVIGLIO E GERA D'ADDA","A"
"08900","C.R.A. DI TREVIGNANO ROMANO","A"
"08901","BANCA CREDITO COOP.DI TRIUGGIO","A"
"08903","BANCA CRED.COOP. DI TURRIACO","A"
"08904","BANCA CRED.COOP.DELLE PREALPI","A"
"08905","C.R.A. DEL SANNIO","A"
"08906","C.R.A. DI SASSOLEONE","A"
"08907","C.R.A. DI SCANDALE","A"
"08910","C.R.A. DI VESTENANOVA CRED.COOP.","A"
"08913","C.R.A. DELLA VALLE DEL FITALIA","A"
"08916","BANCA CREDITO COOP.DI ANCONA","A"
"08917","BANCA CRED.COOP.TREVIGIANO","A"
"08919","C.R.A. DI VEROLAVECCHIA","A"
"08921","C.R.A. DI VEZZA D'ALBA","A"
"08922","BANCA CREDITO COOP.DI VIGNOLE","A"
"08927","C.R.A. DI TREVISO CRED.COOP.","A"
"08928","BANCA CREDITO COOP.DEL CARSO","A"
"08929","BANCA CRED.COOP. DI VILLESSE","A"
"08930","BANCA CRED.COOP.VISCHE-CANAVESE","A"
"08931","BANCA CRED.COOP. DI VITERBO","A"
"08933","C.R.A. DEL MEDIO POLESINE","A"
"08934","BANCA CRED.COOP.DI VILLAPIANA","A"
"08936","BANCA CREDITO COOP.ALTA MARCA","A"
"08937","C.R.A. DI VOLTURARA IRPINA","A"
"08938","C.R.A. VALLE STRONA","A"
"08939","C.R.A. DI OMIGNANO","A"
"08940","BANCA DELLA BERGAMASCA CR.COOP.","A"
"08941","B.C.C. SAN MARCO DI CALATABIANO","A"
"08946","DON RIZZO B.C.COOP.(ALCAMO/TP)","A"
"08947","B.C.C. ""DON STELLA"" DI RESUTTANO","A"
"08948","BANCA C.C. ERICINA DI VALDERICE","A"
"08951","BANCA CR.CCOP. GIUSEPPE TONIOLO","A"
"08952","BANCA C.COOP.G.TONIOLO S.CATALDO","A"
"08953","B.C.C. LA CONCORDIA PIETRAPERZIA","A"
"08954","C.R.A. LA RISCOSSA","A"
"08955","B.C.C.""UNIONE""DI CAMASTRA E NARO","A"
"08957","C.R.A. MARIA SS.DI GULFI","A"
"08958","BANCA CRED.COOP.M.S. DI GANGI","A"
"08962","B.C.C. MONTEMAGGIORE BELSITO","A"
"08964","BANCA CRED.COOP.S.BARNABA MARINO","A"
"08965","B.S.BIAGIO VE.OR.CES.FOS.POR.BCC","A"
"08967","BANCA CREDITO COOPERATIVO-TARSIA","A"
"08968","C.R.A. ""S.FR.D'ASSISI"" DI ATESSA","A"
"08969","BCC SAN FRANCESCO DI CANICATTI","A"
"08970","C.R.A. SAN GAUDENZIO","A"
"08972","BANCA C.COOP.S.GIORGIO CACCAMO","A"
"08973","C.R.A. SAN GIUSEPPE DI CAMERANO","A"
"08975","C.R.A. SAN GIUSEPPE DI MUSSOMELI","A"
"08976","C.R.A. S.GIUSEPPE PETRALIA SOTT.","A"
"08979","C.R.A. S.MICHELE CALTANISSETTA","A"
"08982","BANCA CRED.COOP.S.MARIA ASSUNTA","A"
"08984","BANCA C.COOP.S.APOLLONIA ARICCIA","A"
"08985","BANCA CR.COOP.NISSENO SOMMATINO","A"
"08986","BANCA CRED.COOP.PADANA ORIENTALE","A"
"08987","CRA S.V.DEPAOLI CASAGIOVE C.COOP","A"
"08988","B.C.COOP.P.COLLE-MODUGNO-BITETTO","A"
"08989","BANCA C.C.SS.IMMACOLATA BELPASSO","A"
"08990","B.C.COOP.S.STEFANO MARTELLAGO","A"
"08991","BANCA CRED.COOP.EGUSEA SRL","A"
"08994","B.C.COOP.S.CATERINA E VALLELUNGA","A"
"08995","B.CA CRED.COOP.VALMARECCHIA R/V","A"
"08997","B.C.C. DI SAN MARCO DEI CAVOTI","A"
"08998","C.R. DELLA VAL PASSIRIA","A"
"10004","MPS BANCAVERDE SPA","A"
"10005","CREDITO AGRICOLO ITALIANO SPA","A"
"10008","MELIORCONSORZIO SPA","A"
"10301","IST.ITALIANO CRED.FOND","A"
"10305","CRED.FOND.TRENTINO A.ADIGE SPA","A"
"10309","MONTE PASCHI FONDIARIO E O.P.SPA","A"
"10312","CREDITO FONDIARIO S.P.A.","A"
"10320","CREDITO FONDIARIO TOSCANO SPA","A"
"10322","CARIMONTE FONDIARIO SPA","A"
"10323","MEDIOCREDITO PADANO","A"
"10327","BNL CREDITO CINEM.E TEATRALE SPA","A"
"10328","MEDIOCREDITO FOND. CENTROITALIA","A"
"10601","IMI","A"
"10623","COOPERCREDITO S.P.A","A"
"10630","IST.CRED.SPORTIVO","A"
"10631","MEDIOBANCA BANCA CRED.FIN.SPA","A"
"10632","ENTE FIN.INTER. EFIBANCA SPA","A"
"10633","BANCA CENTR.CRED.POP.CENTROBANCA","A"
"10636","BANCA MEDIOCREDITO SPA","A"
"10637","BANCA INTESABCI M.CREDITO SPA","A"
"10638","MEDIOCREDITO TRENTINO ALTO ADIGE","A"
"10639","MEDIOVENEZIE BANCA SPA","A"
"10640","MEDIOCREDITO FRIULI VENEZ.GIULIA","A"
"10643","MEDIOCREDITO TOSCANO S.P.A.","A"
"10644","MEDIOCREDITO DELL'UMBRIA","A"
"10646","MEDIOCREDITO DI ROMA SPA","A"
"10647","ISVEIMER","A"
"10648","IRFIS SPA","A"
"10680","MEDIOCREDITO CENTRALE SPA","A"
"10681","ARTIGIANCASSA","A"
"10685","BANCA FINAN.MEDIO TER.INTERBANCA","A"
"10689","MEDIOCREDITO DEL SUD SPA","A"
"11101","Monte dei Paschi di Siena","M"
"12334","banca commerciale","M"
"31427","eoligjprosgjpoegjk","M"
"41740","prova","M"
"69060","banca nazionale del lavoro","M"
"76018","UFFICIO POSTALE  ROMA PRATI","M"
"79700","BANCA DI CREDITO COOP","M"
"84046","CREDITO COOPERATIVO DI BUSTO","M"
"05035","VENETO BANCA","A"
"01000","BANCA D'ITALIA","A"
"01005","BANCA NAZIONALE DEL LAVORO SPA","A"
"01010","BANCO DI NAPOLI SPA","A"
"01015","BANCO DI SARDEGNA SPA","A"
"01020","BANCO DI SICILIA SPA","A"
"01025","SANPAOLO - IMI SPA","A"
"01030","BANCA MONTE DEI PASCHI DI SIENA","A"
"02002","BANCA COMMERCIALE ITALIANA SPA","A"
"02008","UNICREDIT BANCA SPA","A"
"03000","IST.CENTR.DI BANCHE E BANCHIERI","A"
"03001","BANCO AMBROSIANO VENETO SPA","A"
"03002","BANCA DI ROMA S.P.A.","A"
"03003","ABN AMRO BANK - MILANO","A"
"03005","AMERICAN EXPRESS BANK LTD.","A"
"03006","ARAB BANK PLC","A"
"03007","ABBEY NATIONAL PLC","A"
"03009","FORD CREDIT EUROPE PLC","A"
"03011","HYPO ALPE ADRIA BANK","A"
"03013","UNITED GARANTI BANK INT.NV.","A"
"03014","CREDITO DI LECCO E DELLA BRIANZA","A"
"03015","FIN-ECO BANCA ICQ SPA","A"
"03017","INVEST BANCA","A"
"03018","NOVA LJUBLJANSKA BANKA D.D.","A"
"03019","BANCA REGIONALE S.ANGELO","A"
"03021","MIDLAND BANK PLC","A"
"03022","CREDIT FONCIER DE FRANCE","A"
"03023","BANCA WOOLWICH","A"
"03025","BANCA PROFILO SPA","A"
"03026","BANCA PER IL LEASING ITALEASE","A"
"03027","AREA BANCA SPA","A"
"03028","DEPFA BANK-DEUTSCHE PFAND.HYPOT.","A"
"03029","MERRILL LYNCH INTERNATIONAL BANK","A"
"03030","CREDIOP SPA","A"
"03031","BANCA DI BERGAMO","A"
"03032","CREDITO EMILIANO SPA","A"
"03033","SALOMON BROTHERS AG","A"
"03034","BANCA AGR.REPUBB.SAN MARINO","A"
"03035","BANCA DEL GARDA","A"
"03037","IMPERIAL BANK","A"
"03038","BANCA AGRICOLA ETNEA","A"
"03040","CREDIT SUISSE FIRST BOSTON","A"
"03041","UNIONE BANCHE SVIZZERE (ITALIA)","A"
"03043","BCA INTERM.DI INVEST. E GESTIONI","A"
