ABI,DS_ABI,TIPO
"05418","VENETO BANCA","A"
"05420","BANCA POP.DI AUGUSTA","A"
"05424","BANCA POP.DI BARI","A"
"05428","BANCA POP.BERGAMO CRED.VARESINO","A"
"05437","BIPOP CARIRE SPA","A"
"05452","BANCA POP.DI CARINI","A"
"05460","BANCA POP.DI CASTELFRANCO VENETO","A"
"05467","BANCA POP.CASTROVILLARI COR.C.","A"
"05470","BANCA POP. ARIANO VALLE UFITA","A"
"05484","BANCA DI CIVIDALE SPA","A"
"05496","BANCA POP.DI CORTONA","A"
"05512","BANCA POP.DI CREMONA","A"
