TI_APPARTENENZA,TI_GESTIONE,CD_ELEMENTO_VOCE,CD_VOCE_EP,CD_VOCE_EP_CONTR,UTCR,UTUV,PG_VER_REC
"D","S","13064","C13064","P13064","SYSTEM","SYSTEM","1"
"D","S","13065","C13065","P13065","SYSTEM","SYSTEM","1"
"D","S","13078","C13078","P13078","SYSTEM","SYSTEM","1"
"D","S","13095","C13095","P13095","SYSTEM","SYSTEM","1"
"D","S","13097","C13097","P13097","SYSTEM","SYSTEM","1"
"D","S","13108","C13108","P13108","SYSTEM","SYSTEM","1"
"D","S","13109","C13109","P13109","SYSTEM","SYSTEM","1"
"D","S","14006","C14006","P14006","SYSTEM","SYSTEM","1"
"D","S","14009","C14009","P14009","SYSTEM","SYSTEM","1"
"D","S","14014","C14014","P14014","SYSTEM","SYSTEM","1"
"D","S","13041","C13041","P13041","SYSTEM","SYSTEM","1"
"D","S","17004","C17004","P17004","SYSTEM","SYSTEM","1"
"D","S","19001","C19001","P19001","SYSTEM","SYSTEM","1"
"C","E","21034","R21034","A21034","SYSTEM","SYSTEM","1"
"C","E","21038","R21038","A21038","SYSTEM","SYSTEM","1"
"C","E","21043","R21043","A21043","SYSTEM","SYSTEM","1"
"C","E","21045","R21045","A21045","SYSTEM","SYSTEM","1"
"C","E","31012","R31012","A31012","SYSTEM","SYSTEM","1"
"C","E","33004","R33004","A33004","SYSTEM","SYSTEM","1"
"C","E","35015","R35015","A35015","SYSTEM","SYSTEM","1"
"C","E","44005","R44005","A44005","SYSTEM","SYSTEM","1"
"C","E","44024","R44024","A44024","SYSTEM","SYSTEM","1"
"D","S","11003","C11003","P11003","SYSTEM","SYSTEM","1"
"D","S","11012","C11012","P11012","SYSTEM","SYSTEM","1"
"D","S","11016","C11016","P11016","SYSTEM","SYSTEM","1"
"D","S","11025","C11025","P11025","SYSTEM","SYSTEM","1"
"D","S","11030","C11030","P11030","SYSTEM","SYSTEM","1"
"D","S","12001","C12001","P12001","SYSTEM","SYSTEM","1"
"D","S","12013","C12013","P12013","SYSTEM","SYSTEM","1"
"D","S","12016","C12016","P12016","SYSTEM","SYSTEM","1"
"D","S","12018","C12018","P12018","SYSTEM","SYSTEM","1"
"D","S","13010","C13010","P13010","SYSTEM","SYSTEM","1"
"D","S","13018","C13018","P13018","SYSTEM","SYSTEM","1"
"D","S","13022","C13022","P13022","SYSTEM","SYSTEM","1"
"D","S","13035","C13035","P13035","SYSTEM","SYSTEM","1"
"D","S","22007","A22007","P22007","SYSTEM","SYSTEM","1"
"D","S","22009","A22009","P22009","SYSTEM","SYSTEM","1"
"D","S","22016","A22016","P22016","SYSTEM","SYSTEM","1"
"D","S","22023","A22023","P22023","SYSTEM","SYSTEM","1"
"C","E","21003","R21003","A21003","SYSTEM","SYSTEM","1"
"C","E","21019","R21019","A21019","SYSTEM","SYSTEM","1"
"C","E","21020","R21020","A21020","SYSTEM","SYSTEM","1"
"D","S","13045","C13045","P13045","SYSTEM","SYSTEM","1"
"D","S","13048","C13048","P13048","SYSTEM","SYSTEM","1"
"D","S","13063","C13063","P13063","SYSTEM","SYSTEM","1"
"D","S","13067","C13067","P13067","SYSTEM","SYSTEM","1"
"D","S","13069","C13069","P13069","SYSTEM","SYSTEM","1"
"D","S","13070","C13070","P13070","SYSTEM","SYSTEM","1"
"D","S","13101","C13101","P13101","SYSTEM","SYSTEM","1"
"D","S","13112","C13112","P13112","SYSTEM","SYSTEM","1"
"D","S","14005","C14005","P14005","SYSTEM","SYSTEM","1"
"D","S","14008","C14008","P14008","SYSTEM","SYSTEM","1"
"D","S","14010","C14010","P14010","SYSTEM","SYSTEM","1"
"D","S","19002","C19002","P19002","SYSTEM","SYSTEM","1"
"D","S","19003","C19003","P19003","SYSTEM","SYSTEM","1"
"C","E","21035","R21035","A21035","SYSTEM","SYSTEM","1"
"D","S","13014","C13014","P13014","SYSTEM","SYSTEM","1"
"C","E","21040","R21040","A21040","SYSTEM","SYSTEM","1"
"C","E","21052","R21052","A21052","SYSTEM","SYSTEM","1"
"C","E","21054","R21054","A21054","SYSTEM","SYSTEM","1"
"C","E","31001","R31001","A31001","SYSTEM","SYSTEM","1"
"C","E","31006","R31006","A31006","SYSTEM","SYSTEM","1"
"C","E","31016","R31016","A31016","SYSTEM","SYSTEM","1"
"C","E","31018","R31018","A31018","SYSTEM","SYSTEM","1"
"C","E","31019","R31019","A31019","SYSTEM","SYSTEM","1"
"C","E","31021","R31021","A31021","SYSTEM","SYSTEM","1"
"C","E","31023","R31023","A31023","SYSTEM","SYSTEM","1"
"C","E","44008","R44008","A44008","SYSTEM","SYSTEM","1"
"C","E","44011","R44011","A44011","SYSTEM","SYSTEM","1"
"C","E","44021","R44021","A44021","SYSTEM","SYSTEM","1"
"C","E","51003","R51003","A51003","SYSTEM","SYSTEM","1"
"D","S","71004","P71004","P71004","SYSTEM","SYSTEM","1"
"D","S","11009","C11009","P11009","SYSTEM","SYSTEM","1"
"D","S","11011","C11011","P11011","SYSTEM","SYSTEM","1"
"D","S","11014","C11014","P11014","SYSTEM","SYSTEM","1"
"D","S","11019","C11019","P11019","SYSTEM","SYSTEM","1"
"D","S","11020","C11020","P11020","SYSTEM","SYSTEM","1"
"D","S","11036","C11036","P11036","SYSTEM","SYSTEM","1"
"D","S","11038","C11038","P11038","SYSTEM","SYSTEM","1"
"D","S","12004","C12004","P12004","SYSTEM","SYSTEM","1"
"D","S","12010","C12010","P12010","SYSTEM","SYSTEM","1"
"D","S","12012","C12012","P12012","SYSTEM","SYSTEM","1"
"D","S","13008","C13008","P13008","SYSTEM","SYSTEM","1"
"D","S","13012","C13012","P13012","SYSTEM","SYSTEM","1"
"D","S","13013","C13013","P13013","SYSTEM","SYSTEM","1"
"D","S","13015","C13015","P13015","SYSTEM","SYSTEM","1"
"D","S","13025","C13025","P13025","SYSTEM","SYSTEM","1"
"D","S","13026","C13026","P13026","SYSTEM","SYSTEM","1"
"D","S","13029","C13029","P13029","SYSTEM","SYSTEM","1"
