TI_APPARTENENZA,TI_GESTIONE,CD_ELEMENTO_VOCE,TI_GESTIONE_SIOPE,CD_SIOPE,UTCR,UTUV,PG_VER_REC
"C","E","44017","E","4040107999","SYSTEM","SYSTEM","1"
"C","E","44019","E","4040108017","SYSTEM","SYSTEM","1"
"C","E","44020","E","4040108004","SYSTEM","SYSTEM","1"
"C","E","44021","E","4040108005","SYSTEM","SYSTEM","1"
"C","E","44022","E","4040108007","SYSTEM","SYSTEM","1"
"C","E","44023","E","4040108009","SYSTEM","SYSTEM","1"
"C","E","44024","E","4040108999","SYSTEM","SYSTEM","1"
"C","E","44025","E","4040109001","SYSTEM","SYSTEM","1"
"C","E","44026","E","4040110001","SYSTEM","SYSTEM","1"
"C","E","44027","E","4040199001","SYSTEM","SYSTEM","1"
"C","E","44028","E","4040201001","SYSTEM","SYSTEM","1"
"C","E","44029","E","4040201002","SYSTEM","SYSTEM","1"
"C","E","44030","E","4040301001","SYSTEM","SYSTEM","1"
"C","E","44031","E","4040302001","SYSTEM","SYSTEM","1"
"C","E","44032","E","4040303001","SYSTEM","SYSTEM","1"
"C","E","44033","E","4040399001","SYSTEM","SYSTEM","1"
"C","E","44034","E","4040103002","SYSTEM","SYSTEM","1"
"D","S","22001","S","2020101001","SYSTEM","SYSTEM","1"
"D","S","22002","S","2020101001","SYSTEM","SYSTEM","1"
"D","S","22003","S","2020101002","SYSTEM","SYSTEM","1"
"D","S","22004","S","2020101003","SYSTEM","SYSTEM","1"
"D","S","22005","S","2020103001","SYSTEM","SYSTEM","1"
"D","S","22006","S","2020103002","SYSTEM","SYSTEM","1"
"D","S","22007","S","2020103999","SYSTEM","SYSTEM","1"
"D","S","22008","S","2020104001","SYSTEM","SYSTEM","1"
"D","S","22009","S","2020104002","SYSTEM","SYSTEM","1"
"D","S","22010","S","2020105001","SYSTEM","SYSTEM","1"
"D","S","22011","S","2020105002","SYSTEM","SYSTEM","1"
"D","S","22012","S","2020106001","SYSTEM","SYSTEM","1"
"D","S","22013","S","2020107001","SYSTEM","SYSTEM","1"
"D","S","22014","S","2020107002","SYSTEM","SYSTEM","1"
"D","S","22015","S","2020107003","SYSTEM","SYSTEM","1"
"D","S","22016","S","2020107004","SYSTEM","SYSTEM","1"
"D","S","22017","S","2020107999","SYSTEM","SYSTEM","1"
"D","S","22020","S","2020109004","SYSTEM","SYSTEM","1"
"D","S","22021","S","2020109004","SYSTEM","SYSTEM","1"
"D","S","22022","S","2020109005","SYSTEM","SYSTEM","1"
"D","S","22023","S","2020109005","SYSTEM","SYSTEM","1"
"D","S","22024","S","2020199001","SYSTEM","SYSTEM","1"
"D","S","22025","S","2020201001","SYSTEM","SYSTEM","1"
"D","S","22026","S","2020201002","SYSTEM","SYSTEM","1"
"D","S","22027","S","2020306999","SYSTEM","SYSTEM","1"
"D","S","22028","S","2020306999","SYSTEM","SYSTEM","1"
"D","S","22029","S","2020107005","SYSTEM","SYSTEM","1"
"D","S","22030","S","2020107005","SYSTEM","SYSTEM","1"
"D","S","22031","S","2020109009","SYSTEM","SYSTEM","1"
"D","S","22032","S","2020109009","SYSTEM","SYSTEM","1"
"D","S","22033","S","2020306001","SYSTEM","SYSTEM","1"
"D","S","22034","S","2020109019","SYSTEM","SYSTEM","1"
"D","S","22035","S","2020109019","SYSTEM","SYSTEM","1"
"D","S","31001","S","3010103002","SYSTEM","SYSTEM","1"
"D","S","31002","S","3010403001","SYSTEM","SYSTEM","1"
"D","S","31003","S","3010103001","SYSTEM","SYSTEM","1"
"D","S","43001","S","4030104999","SYSTEM","SYSTEM","1"
"D","S","43002","S","4030104003","SYSTEM","SYSTEM","1"
"D","S","71002","S","7010199999","SYSTEM","SYSTEM","1"
"D","S","71003","S","7010201001","SYSTEM","SYSTEM","1"
"D","S","71004","S","7010202001","SYSTEM","SYSTEM","1"
"D","S","71005","S","7010299999","SYSTEM","SYSTEM","1"
"D","S","71006","S","7010301001","SYSTEM","SYSTEM","1"
"D","S","71007","S","7010302001","SYSTEM","SYSTEM","1"
"D","S","71008","S","7010399999","SYSTEM","SYSTEM","1"
"D","S","71009","S","7019901001","SYSTEM","SYSTEM","1"
"D","S","71010","S","7019903001","SYSTEM","SYSTEM","1"
"D","S","71011","S","7019999999","SYSTEM","SYSTEM","1"
"D","S","71012","S","7010102001","SYSTEM","SYSTEM","1"
"D","S","72001","S","7020101001","SYSTEM","SYSTEM","1"
"D","S","72002","S","7020102001","SYSTEM","SYSTEM","1"
"D","S","72003","S","7020201001","SYSTEM","SYSTEM","1"
"D","S","72004","S","7020201003","SYSTEM","SYSTEM","1"
"D","S","72005","S","7020201004","SYSTEM","SYSTEM","1"
"D","S","72006","S","7020201005","SYSTEM","SYSTEM","1"
"D","S","72007","S","7020201006","SYSTEM","SYSTEM","1"
"D","S","72008","S","7020201007","SYSTEM","SYSTEM","1"
"D","S","72009","S","7020201008","SYSTEM","SYSTEM","1"
"D","S","72010","S","7020201009","SYSTEM","SYSTEM","1"
"D","S","72011","S","7020201010","SYSTEM","SYSTEM","1"
"D","S","72012","S","7020201011","SYSTEM","SYSTEM","1"
"D","S","72013","S","7020201012","SYSTEM","SYSTEM","1"
"D","S","72014","S","7020201013","SYSTEM","SYSTEM","1"
"D","S","72015","S","7020201999","SYSTEM","SYSTEM","1"
"D","S","72016","S","7020202001","SYSTEM","SYSTEM","1"
"D","S","72017","S","7020202002","SYSTEM","SYSTEM","1"
"D","S","72018","S","7020202003","SYSTEM","SYSTEM","1"
"D","S","72019","S","7020202004","SYSTEM","SYSTEM","1"
"D","S","72020","S","7020202005","SYSTEM","SYSTEM","1"
"D","S","72021","S","7020202006","SYSTEM","SYSTEM","1"
"D","S","72022","S","7020202007","SYSTEM","SYSTEM","1"
"D","S","72023","S","7020202008","SYSTEM","SYSTEM","1"
"D","S","72024","S","7020202009","SYSTEM","SYSTEM","1"
"D","S","72025","S","7020202010","SYSTEM","SYSTEM","1"
"D","S","72026","S","7020202011","SYSTEM","SYSTEM","1"
"D","S","72027","S","7020202012","SYSTEM","SYSTEM","1"
"D","S","72028","S","7020202013","SYSTEM","SYSTEM","1"
"D","S","72029","S","7020202014","SYSTEM","SYSTEM","1"
"D","S","72030","S","7020202015","SYSTEM","SYSTEM","1"
"D","S","72031","S","7020202016","SYSTEM","SYSTEM","1"
"D","S","72032","S","7020202017","SYSTEM","SYSTEM","1"
"D","S","72033","S","7020202018","SYSTEM","SYSTEM","1"
"D","S","72034","S","7020202019","SYSTEM","SYSTEM","1"
"D","S","72035","S","7020202999","SYSTEM","SYSTEM","1"
"D","S","72036","S","7020203001","SYSTEM","SYSTEM","1"
"D","S","72037","S","7020203002","SYSTEM","SYSTEM","1"
"D","S","72038","S","7020203999","SYSTEM","SYSTEM","1"
"D","S","72039","S","7020301001","SYSTEM","SYSTEM","1"
"D","S","72040","S","7020302001","SYSTEM","SYSTEM","1"
"D","S","72041","S","7020302002","SYSTEM","SYSTEM","1"
"D","S","72042","S","7020302999","SYSTEM","SYSTEM","1"
"D","S","72043","S","7020303001","SYSTEM","SYSTEM","1"
"D","S","72044","S","7020304001","SYSTEM","SYSTEM","1"
"D","S","72045","S","7020401001","SYSTEM","SYSTEM","1"
"D","S","72046","S","7020402001","SYSTEM","SYSTEM","1"
"D","S","72047","S","7020501001","SYSTEM","SYSTEM","1"
"D","S","72048","S","7020502001","SYSTEM","SYSTEM","1"
"D","S","72049","S","7029999999","SYSTEM","SYSTEM","1"
"D","S","13060","S","1030207006","SYSTEM","SYSTEM","1"
"D","S","13061","S","1030207007","SYSTEM","SYSTEM","1"
"D","S","13062","S","1030207008","SYSTEM","SYSTEM","1"
"D","S","13063","S","1030208001","SYSTEM","SYSTEM","1"
"D","S","13064","S","1030208001","SYSTEM","SYSTEM","1"
"D","S","13065","S","1030208001","SYSTEM","SYSTEM","1"
"D","S","13066","S","1030208002","SYSTEM","SYSTEM","1"
"D","S","13067","S","1030208999","SYSTEM","SYSTEM","1"
"D","S","13068","S","1030209001","SYSTEM","SYSTEM","1"
"D","S","13069","S","1030209001","SYSTEM","SYSTEM","1"
"D","S","13070","S","1030209001","SYSTEM","SYSTEM","1"
"D","S","13071","S","1030209001","SYSTEM","SYSTEM","1"
"D","S","13072","S","1030209003","SYSTEM","SYSTEM","1"
"D","S","13073","S","1030209004","SYSTEM","SYSTEM","1"
"D","S","13074","S","1030209005","SYSTEM","SYSTEM","1"
"D","S","13075","S","1030209006","SYSTEM","SYSTEM","1"
"D","S","13076","S","1030209008","SYSTEM","SYSTEM","1"
"D","S","13077","S","1030209008","SYSTEM","SYSTEM","1"
"D","S","13078","S","1030210001","SYSTEM","SYSTEM","1"
"D","S","13079","S","1030210002","SYSTEM","SYSTEM","1"
"D","S","13080","S","1030211001","SYSTEM","SYSTEM","1"
"D","S","13081","S","1030211004","SYSTEM","SYSTEM","1"
"D","S","13082","S","1030211008","SYSTEM","SYSTEM","1"
"D","S","13083","S","1030211009","SYSTEM","SYSTEM","1"
"D","S","13084","S","1030211010","SYSTEM","SYSTEM","1"
"D","S","13085","S","1030211999","SYSTEM","SYSTEM","1"
"D","S","13086","S","1030212001","SYSTEM","SYSTEM","1"
"D","S","13087","S","1030212003","SYSTEM","SYSTEM","1"
"D","S","13088","S","1030213001","SYSTEM","SYSTEM","1"
"D","S","13089","S","1030213002","SYSTEM","SYSTEM","1"
"D","S","13090","S","1030213002","SYSTEM","SYSTEM","1"
"D","S","13091","S","1030213003","SYSTEM","SYSTEM","1"
"D","S","13092","S","1030213003","SYSTEM","SYSTEM","1"
"D","S","13093","S","1030213004","SYSTEM","SYSTEM","1"
"D","S","13094","S","1030213006","SYSTEM","SYSTEM","1"
"D","S","13095","S","1030214002","SYSTEM","SYSTEM","1"
"D","S","13096","S","1030216001","SYSTEM","SYSTEM","1"
"D","S","13097","S","1030216002","SYSTEM","SYSTEM","1"
"D","S","13098","S","1030216004","SYSTEM","SYSTEM","1"
"D","S","13099","S","1030217001","SYSTEM","SYSTEM","1"
