CD_COFOG,DS_COFOG,CD_LIVELLO1,CD_LIVELLO2,CD_LIVELLO3,NR_LIVELLO,FL_ACCENTRATO,FL_DECENTRATO,UTCR,UTUV,PG_VER_REC
"01.1.2","Affari finanziari e fiscali","01","01.1","01.1.2",3,"N","N","SYSTEM","SYSTEM","1"
"01.1.3","Affari esteri","01","01.1","01.1.3",3,"N","N","SYSTEM","SYSTEM","1"
"01.2.1","Aiuti economici ai paesi in via di sviluppo ed in transizione","01","01.2","01.2.1",3,"N","N","SYSTEM","SYSTEM","1"
"01.2.2","Aiuti economici erogati attraverso organismi internazionali","01","01.2","01.2.2",3,"N","N","SYSTEM","SYSTEM","1"
"01.3.1","Servizi generali del personale","01","01.3","01.3.1",3,"N","N","SYSTEM","SYSTEM","1"
"01.3.2","Servizi di programmazione","01","01.3","01.3.2",3,"N","N","SYSTEM","SYSTEM","1"
"01.3.3","Servizi statistici","01","01.3","01.3.3",3,"N","N","SYSTEM","SYSTEM","1"
"01.3.4","Altri servizi","01","01.3","01.3.4",3,"N","N","SYSTEM","SYSTEM","1"
"01.4.1","Ricerca di base","01","01.4","01.4.1",3,"N","N","SYSTEM","SYSTEM","1"
"01.5.1","R & S per i servizi pubblici generali","01","01.5","01.5.1",3,"N","N","SYSTEM","SYSTEM","1"
"01.6.1","Servizi pubblici generali n.a.c.","01","01.6","01.6.1",3,"N","N","SYSTEM","SYSTEM","1"
"01.7.1","Transazioni relative al debito pubblico","01","01.7","01.7.1",3,"N","N","SYSTEM","SYSTEM","1"
"07.2.1","Servizi medici generici","07","07.2","07.2.1",3,"N","N","SYSTEM","SYSTEM","1"
"01.8.1","Trasferimenti a carattere generale tra diversi livelli di amministrazione","01","01.8","01.8.1",3,"N","N","SYSTEM","SYSTEM","1"
"02.1.1","Difesa militare","02","02.1","02.1.1",3,"N","N","SYSTEM","SYSTEM","1"
"02.2.1","Difesa civile","02","02.2","02.2.1",3,"N","N","SYSTEM","SYSTEM","1"
"02.3.1","Aiuti militari all?estero","02","02.3","02.3.1",3,"N","N","SYSTEM","SYSTEM","1"
"02.4.1","R & S per la Difesa","02","02.4","02.4.1",3,"N","N","SYSTEM","SYSTEM","1"
"02.5.1","Difesa n.a.c.","02","02.5","02.5.1",3,"N","N","SYSTEM","SYSTEM","1"
"03.1.1","Servizi di polizia","03","03.1","03.1.1",3,"N","N","SYSTEM","SYSTEM","1"
"03.2.1","Servizi antincendio","03","03.2","03.2.1",3,"N","N","SYSTEM","SYSTEM","1"
"03.3.1","Tribunali","03","03.3","03.3.1",3,"N","N","SYSTEM","SYSTEM","1"
"03.4.1","Carceri","03","03.4","03.4.1",3,"N","N","SYSTEM","SYSTEM","1"
"03.5.1","R&S connessi all'ordine pubblico e sicurezza","03","03.5","03.5.1",3,"N","N","SYSTEM","SYSTEM","1"
"03.6.1","Ordine pubblico e sicurezza n.a.c.","03","03.6","03.6.1",3,"N","N","SYSTEM","SYSTEM","1"
