PG_COMUNE,CD_CAP,UTCR,UTUV,PG_VER_REC
3406,"57122","SYSTEM","SYSTEM","1"
3406,"57123","SYSTEM","SYSTEM","1"
3406,"57124","SYSTEM","SYSTEM","1"
3406,"57125","SYSTEM","SYSTEM","1"
3406,"57126","SYSTEM","SYSTEM","1"
3406,"57127","SYSTEM","SYSTEM","1"
3406,"57128","SYSTEM","SYSTEM","1"
3469,"55014","SYSTEM","SYSTEM","1"
3743,"43040","SYSTEM","SYSTEM","1"
3800,"98121","SYSTEM","SYSTEM","1"
3800,"98122","SYSTEM","SYSTEM","1"
3800,"98123","SYSTEM","SYSTEM","1"
3800,"98124","SYSTEM","SYSTEM","1"
3800,"98125","SYSTEM","SYSTEM","1"
3800,"98126","SYSTEM","SYSTEM","1"
3800,"98127","SYSTEM","SYSTEM","1"
3800,"98128","SYSTEM","SYSTEM","1"
3800,"98129","SYSTEM","SYSTEM","1"
3800,"98130","SYSTEM","SYSTEM","1"
3800,"98131","SYSTEM","SYSTEM","1"
3800,"98132","SYSTEM","SYSTEM","1"
3800,"98133","SYSTEM","SYSTEM","1"
3800,"98134","SYSTEM","SYSTEM","1"
3800,"98135","SYSTEM","SYSTEM","1"
3800,"98136","SYSTEM","SYSTEM","1"
3800,"98137","SYSTEM","SYSTEM","1"
3800,"98138","SYSTEM","SYSTEM","1"
3800,"98139","SYSTEM","SYSTEM","1"
3800,"98140","SYSTEM","SYSTEM","1"
3800,"98141","SYSTEM","SYSTEM","1"
3800,"98142","SYSTEM","SYSTEM","1"
3800,"98143","SYSTEM","SYSTEM","1"
3800,"98144","SYSTEM","SYSTEM","1"
3800,"98145","SYSTEM","SYSTEM","1"
3800,"98146","SYSTEM","SYSTEM","1"
3800,"98147","SYSTEM","SYSTEM","1"
3800,"98148","SYSTEM","SYSTEM","1"
3800,"98149","SYSTEM","SYSTEM","1"
3800,"98150","SYSTEM","SYSTEM","1"
3800,"98151","SYSTEM","SYSTEM","1"
3800,"98152","SYSTEM","SYSTEM","1"
3800,"98153","SYSTEM","SYSTEM","1"
3800,"98154","SYSTEM","SYSTEM","1"
3800,"98155","SYSTEM","SYSTEM","1"
3800,"98156","SYSTEM","SYSTEM","1"
3800,"98157","SYSTEM","SYSTEM","1"
3800,"98158","SYSTEM","SYSTEM","1"
3800,"98160","SYSTEM","SYSTEM","1"
3800,"98161","SYSTEM","SYSTEM","1"
3800,"98162","SYSTEM","SYSTEM","1"
3800,"98163","SYSTEM","SYSTEM","1"
3800,"98164","SYSTEM","SYSTEM","1"
3800,"98165","SYSTEM","SYSTEM","1"
3800,"98166","SYSTEM","SYSTEM","1"
3800,"98167","SYSTEM","SYSTEM","1"
3800,"98168","SYSTEM","SYSTEM","1"
3831,"20121","SYSTEM","SYSTEM","1"
3831,"20122","SYSTEM","SYSTEM","1"
3831,"20123","SYSTEM","SYSTEM","1"
3831,"20124","SYSTEM","SYSTEM","1"
3831,"20125","SYSTEM","SYSTEM","1"
3831,"20126","SYSTEM","SYSTEM","1"
3831,"20127","SYSTEM","SYSTEM","1"
3831,"20128","SYSTEM","SYSTEM","1"
3831,"20129","SYSTEM","SYSTEM","1"
3831,"20130","SYSTEM","SYSTEM","1"
3831,"20131","SYSTEM","SYSTEM","1"
3831,"20132","SYSTEM","SYSTEM","1"
3831,"20133","SYSTEM","SYSTEM","1"
3831,"20134","SYSTEM","SYSTEM","1"
3831,"20135","SYSTEM","SYSTEM","1"
3831,"20136","SYSTEM","SYSTEM","1"
3831,"20137","SYSTEM","SYSTEM","1"
3831,"20138","SYSTEM","SYSTEM","1"
3831,"20139","SYSTEM","SYSTEM","1"
3831,"20140","SYSTEM","SYSTEM","1"
3831,"20141","SYSTEM","SYSTEM","1"
3831,"20142","SYSTEM","SYSTEM","1"
3831,"20143","SYSTEM","SYSTEM","1"
3831,"20144","SYSTEM","SYSTEM","1"
3831,"20145","SYSTEM","SYSTEM","1"
3831,"20146","SYSTEM","SYSTEM","1"
3831,"20147","SYSTEM","SYSTEM","1"
