TI_APPARTENENZA,TI_GESTIONE,CD_ELEMENTO_VOCE,CD_ELEMENTO_VOCE_COLL,TI_APPARTENENZA_COLL,TI_GESTIONE_COLL,CD_CDS,CD_NATURA,TI_ELEMENTO_VOCE,TI_ELEMENTO_VOCE_COLL,UTCR,UTUV,PG_VER_REC
"C","E","44034","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","44035","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","71001","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","91008","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","91009","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","91010","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","91011","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","91012","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","91013","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","92001","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","92002","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","92003","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","92004","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","92005","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","92006","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","92007","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","92008","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"D","S","71001","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","91002","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","91001","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","31018","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","31019","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","31020","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","31021","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","31022","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","31023","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","31024","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","33001","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","33002","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","33003","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","33004","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","33005","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","33006","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","33007","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
"C","E","33008","*","*","*","*","1","C","NULL","SYSTEM","SYSTEM","1"
