"cd_nodo","ds_nodo","cd_accesso","business_process","pg_ordinamento","fl_terminale","livello","url_icona","cd_proprio_nodo","dacr","utcr","duva","utuv","pg_ver_rec","cd_nodo_padre","url_icona_open"
"0.AMM.FATTUR.FATPAS.STAMPE.FPASCL","elenco fatture pass. per fornitore","AMMFATTURDOCSFPASCLM","StampaFattPassPerFornitoreBP","2","Y","5","NULL","FPASCL","2004-10-12T13:33:32.000","$$$$$MIGRAZIONE$$$$$","2004-10-12T13:33:32.000","$$$$$MIGRAZIONE$$$$$","1","0.AMM.FATTUR.FATPAS.STAMPE","NULL"
"0.AMM.FATTUR.FATATT.STAMPE","stampe","NULL","NULL","6","N","4","NULL","STAMPE","2004-10-12T13:33:32.000","$$$$$MIGRAZIONE$$$$$","2004-10-12T13:33:32.000","$$$$$MIGRAZIONE$$$$$","1","0.AMM.FATTUR.FATATT","NULL"
"0.AMM.FATTUR.FATATT.STAMPE.FATTFO","elenco fatture att. per cliente","AMMFATTURDOCSFATTFOM","StampaFattAttPerClienteBP","1","Y","5","NULL","FATTFO","2004-10-12T13:33:32.000","$$$$$MIGRAZIONE$$$$$","2004-10-12T13:33:32.000","$$$$$MIGRAZIONE$$$$$","1","0.AMM.FATTUR.FATATT.STAMPE","NULL"
"0.AMM.INVENT.TRSINV","trasferimento inventario","NULL","NULL","6","N","3","NULL","TRSINV","2004-11-17T16:54:35.000","$$$$$MIGRAZIONE$$$$$","2004-11-17T16:54:35.000","$$$$$MIGRAZIONE$$$$$","1","0.AMM.INVENT","NULL"
"0.AMM.INVENT.TRSINV.TRSEXT","trasferimento verso altra UO","AMMINVENTCORETRSEXTM","CRUDTrasferimentoExtraInventarioBP","1","Y","4","NULL","TRSEXT","2004-11-17T16:54:35.000","$$$$$MIGRAZIONE$$$$$","2004-11-17T16:54:35.000","$$$$$MIGRAZIONE$$$$$","1","0.AMM.INVENT.TRSINV","NULL"
"0.AMM.INVENT.TRSINV.TRSINT","trasferimento interno alla UO","AMMINVENTCORETRSINTM","CRUDTrasferimentoIntraInventarioBP","2","Y","4","NULL","TRSINT","2004-11-17T16:54:35.000","$$$$$MIGRAZIONE$$$$$","2004-11-17T16:54:35.000","$$$$$MIGRAZIONE$$$$$","1","0.AMM.INVENT.TRSINV","NULL"
"0.CFG.LINATT.STAMP","Stampe","NULL","NULL","6","N","3","NULL","STAMP","2005-09-22T17:10:27.000","F","2005-09-22T17:10:27.000","F","1","0.CFG.LINATT","NULL"
"0.CFG.LINATT.STAMP.M","Elenco GAE per Modulo","CFGLINATTSTAMPM","StampaElencoProgettiBP","1","Y","6","NULL","M","2005-09-22T17:10:27.000","F","2005-09-22T17:10:27.000","F","1","0.CFG.LINATT.STAMP","NULL"
"0.CFG.PARAMCNR.UO","Unit? Organizzativa","NULL","NULL","110","N","4","NULL","UO","2005-11-22T18:08:09.000","SYSTEM","2005-11-22T18:08:09.000","SYSTEM","1","0.CFG.PARAMCNR","NULL"
"0.CFG.PARAMCNR.UO.M","gestione","CFGPARAMETRIUOM","CRUDConfigParametriUoBP","20","Y","5","NULL","M","2005-11-22T18:08:09.000","SYSTEM","2005-11-22T18:08:09.000","SYSTEM","1","0.CFG.PARAMCNR.UO","NULL"
"0.CFG.PARAMCNR.UO.V","visualizzazione","CFGPARAMETRIUOV","CRUDConfigParametriUoBP","10","Y","5","NULL","V","2005-11-22T18:08:09.000","SYSTEM","2005-11-22T18:08:09.000","SYSTEM","1","0.CFG.PARAMCNR.UO","NULL"
"0.AMM.CONS.INVENT.REGINV","Consultazione Registro Inventario","AMMINVCONSREGINV","ConsRegistroInventarioBP","12","Y","4","NULL","CONSREGINV","2005-12-22T14:13:15.000","ADMIN","2005-12-22T14:13:15.000","ADMIN","1","0.AMM.CONS.INVENT","NULL"
"0.DOC.CON.REV","Reversali","NULL","NULL","40","N","3","NULL","MAN","2006-05-02T12:28:18.000","AMMINISTRATORE","2006-05-02T12:28:18.000","AMMINISTRATORE","1","0.DOC.CON","NULL"
"0.DOC.CON.REV.INIOREV","Stato Invio Reversali","CONSDOCAMMINVIOREV","ConsStatoInvioReversaliBP","10","Y","4","NULL","INIOREV","2006-05-02T12:28:18.000","AMMINISTRATORE","2006-05-02T12:28:18.000","AMMINISTRATORE","1","0.DOC.CON.REV","NULL"
"0.PRV.STM","Stampe","NULL","NULL","80","N","2","NULL","STM","2007-02-21T17:11:16.000","AMMINISTRATORE","2007-02-21T17:11:16.000","AMMINISTRATORE","1","0.PRV","NULL"
"0.PRV.STM.PREFINDEC","Preventivo Finanziario Decisionale","NULL","NULL","10","N","3","NULL","PREFINDEC","2007-02-21T17:11:16.000","AMMINISTRATORE","2007-02-21T17:11:16.000","AMMINISTRATORE","1","0.PRV.STM","NULL"
"0.PRV.STM.PREFINDEC.ENTRATE","Entrate","PRVSTMPREFINDEC","StampaPreventivoFinDecEntrateBP","10","Y","4","NULL","ENTRATE","2007-02-21T17:11:16.000","AMMINISTRATORE","2007-02-21T17:11:16.000","AMMINISTRATORE","1","0.PRV.STM.PREFINDEC","NULL"
"0.PRV.STM.PREFINDEC.SPESE","Spese","PRVSTMPREFINDEC","StampaPreventivoFinDecSpeseBP","20","Y","4","NULL","SPESE","2007-02-21T17:11:16.000","AMMINISTRATORE","2007-02-21T17:11:16.000","AMMINISTRATORE","1","0.PRV.STM.PREFINDEC","NULL"
"0.AMM.COMPEN.TABR.SCAGLI.U","caricamento Addizionali Comunali","AMMCOMPENTABRSCAGLIU","CRUDAddizionaliBP","3","Y","5","NULL","U","2007-05-04T10:25:08.000","ADMIN","2007-05-04T10:25:08.000","ADMIN","1","0.AMM.COMPEN.TABR.SCAGLI","NULL"
"0.CFG.INCARICHI.TABRIF.ATTINC.V","visualizzazione","CFGINCARICHIATTINCV","CRUDConfigAttivitaIncaricoBP","20","Y","5","NULL","V","2007-09-25T00:00:00.000","S.I.","2007-09-25T00:00:00.000","S.I.","1","0.CFG.INCARICHI.TABRIF.ATTINC","NULL"
"0.CFG.INCARICHI.TABRIF.REPLIM","Repertorio Limiti","NULL","NULL","50","N","5","NULL","REPLIM","2007-09-25T00:00:00.000","S.I.","2007-09-25T00:00:00.000","S.I.","1","0.CFG.INCARICHI.TABRIF","NULL"
"0.CFG.INCARICHI.TABRIF.REPLIM.M","gestione","CFGINCARICHIREPLIMM","CRUDConfigRepertorioLimitiBP","10","Y","5","NULL","M","2007-09-25T00:00:00.000","S.I.","2007-09-25T00:00:00.000","S.I.","1","0.CFG.INCARICHI.TABRIF.REPLIM","NULL"
