"cd_trattamento","cd_contributo_ritenuta","dt_inizio_validita","id_riga","segno","calcolo_imponibile","dt_fine_validita","dacr","utcr","duva","utuv","pg_ver_rec"
"T020C","RIVALSA4","2002-01-01T00:00:00.000","001","+","000","2050-12-31T00:00:00.000","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","1"
"T021C","IVA","2002-01-01T00:00:00.000","002","+","+001E","2050-12-31T00:00:00.000","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","1"
"T021C","RIVALSA4","2002-01-01T00:00:00.000","001","+","000","2050-12-31T00:00:00.000","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","1"
"T025C","IVA","2002-01-01T00:00:00.000","003","+","+001E+002E","2050-12-31T00:00:00.000","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","1"
"T025C","RAIRPEF","2002-01-01T00:00:00.000","004","-","+001E","2050-12-31T00:00:00.000","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","1"
"T025C","RIVALSA4","2002-01-01T00:00:00.000","001","+","000","2050-12-31T00:00:00.000","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","1"
"T048C","IVA","2002-01-01T00:00:00.000","001","+","000","2050-12-31T00:00:00.000","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","1"
"T048C","RAIRPEF","2002-01-01T00:00:00.000","002","-","000","2050-12-31T00:00:00.000","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","1"
"T085C","IVA","2002-01-01T00:00:00.000","002","+","+001E","2050-12-31T00:00:00.000","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","1"
"T085C","RIVALSA4","2002-01-01T00:00:00.000","001","+","000","2050-12-31T00:00:00.000","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","1"
"T089C","IVA","2002-01-01T00:00:00.000","002","+","+001E","2050-12-31T00:00:00.000","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","1"
"T089C","RIVALSA2","2002-01-01T00:00:00.000","001","+","000","2050-12-31T00:00:00.000","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","1"
"T090C","IVA","2002-01-01T00:00:00.000","003","+","+001E+002E","2050-12-31T00:00:00.000","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","1"
"T090C","RIVALSA2","2002-01-01T00:00:00.000","002","+","+001E","2050-12-31T00:00:00.000","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","1"
"T090C","RIVALSA4","2002-01-01T00:00:00.000","001","+","000","2050-12-31T00:00:00.000","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","1"
"T091C","IVA","2002-01-01T00:00:00.000","001","+","000","2050-12-31T00:00:00.000","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","1"
"T048SP","IVA","2017-07-01T00:00:00.000","001","+","000","2050-12-31T00:00:00.000","2017-07-18T00:00:00.000","CED_RP","2017-07-18T00:00:00.000","CED_RP","1"
"T048SP","RAIRPEF","2017-07-01T00:00:00.000","002","-","000","2050-12-31T00:00:00.000","2017-07-18T00:00:00.000","CED_RP","2017-07-18T00:00:00.000","CED_RP","1"
"T121SP","RIVALSA4CP","2017-07-01T00:00:00.000","001","+","000","2200-12-31T01:00:00.000","2017-07-18T00:00:00.000","CED_RP","2017-07-18T00:00:00.000","CED_RP","1"
"T121SP","IVA","2017-07-01T00:00:00.000","002","+","+001E","2200-12-31T01:00:00.000","2017-07-18T00:00:00.000","CED_RP","2017-07-18T00:00:00.000","CED_RP","1"
"T121SP","RAIRPEF","2017-07-01T00:00:00.000","003","-","000","2200-12-31T01:00:00.000","2017-07-18T00:00:00.000","CED_RP","2017-07-18T00:00:00.000","CED_RP","1"
"T019SCSP","IVA","2017-07-01T00:00:00.000","002","+","+001E","2050-12-31T00:00:00.000","2017-07-18T00:00:00.000","CED_RP","2017-07-18T00:00:00.000","CED_RP","1"
"T019SCSP","RAIRPEF","2017-07-01T00:00:00.000","003","-","000","2050-12-31T00:00:00.000","2017-07-18T00:00:00.000","CED_RP","2017-07-18T00:00:00.000","CED_RP","1"
"T019SCSP","RIVALSA2","2017-07-01T00:00:00.000","001","+","000","2050-12-31T00:00:00.000","2017-07-18T00:00:00.000","CED_RP","2017-07-18T00:00:00.000","CED_RP","1"
