"cd_divisa","dt_inizio_validita","dt_fine_validita","cambio","utcr","dacr","utuv","duva","pg_ver_rec"
"CAD","2007-01-01T00:00:00.000","2007-07-31T00:00:00.000","0.6900","004","2007-07-24T10:55:30.000","004","2007-07-24T10:55:30.000","1"
"SEK","2009-05-20T00:00:00.000","2200-12-31T01:00:00.000","0.0950","UTENTETREB","2009-06-17T12:32:19.000","UTENTETREB","2009-06-17T12:32:19.000","1"
"AUD","2012-05-01T00:00:00.000","2012-05-31T00:00:00.000","0.7890","GMONICA","2012-05-25T10:52:17.000","GMONICA","2012-05-25T10:52:17.000","1"
"USD","2006-12-21T00:00:00.000","2200-12-31T01:00:00.000","0.7590","RVILLANI","2006-12-21T11:40:04.000","RVILLANI","2006-12-21T11:40:04.000","1"
"AUD","2008-08-05T00:00:00.000","2008-12-31T00:00:00.000","0.5980","ALOIUDICE","2008-08-05T10:56:44.000","ALOIUDICE","2008-08-05T10:56:44.000","1"
"CAD","2009-03-11T00:00:00.000","2009-12-31T00:00:00.000","0.6310","UTENTETREC","2009-04-21T15:14:55.000","UTENTETREC","2009-04-21T15:14:55.000","1"
"CAD","2010-07-08T00:00:00.000","2010-07-08T00:00:00.000","0.7520","MORI","2010-07-30T15:07:58.000","MORI","2010-07-30T15:07:58.000","1"
"USD","2008-11-26T00:00:00.000","2200-12-31T01:00:00.000","0.7750","RVILLANI","2008-11-26T10:29:51.000","RVILLANI","2008-11-26T10:29:51.000","1"
"CAD","2010-08-20T00:00:00.000","2010-08-31T00:00:00.000","0.7540","MORI","2010-09-09T16:10:50.000","MORI","2010-09-09T16:10:50.000","1"
"AUD","2012-08-14T00:00:00.000","2200-12-31T01:00:00.000","0.8260","DELIA","2012-08-14T13:54:44.000","DELIA","2012-08-14T13:54:44.000","1"
"AUD","2012-08-13T00:00:00.000","2012-12-31T00:00:00.000","0.8526","DELIA","2012-08-14T13:55:49.000","DELIA","2012-08-14T13:55:49.000","1"
"CHF","2013-01-01T00:00:00.000","2200-12-31T01:00:00.000","0.8100","CLAUDIABABIC","2013-03-06T13:31:48.000","CLAUDIABABIC","2013-03-06T13:31:48.000","1"
"CZK","2013-01-01T00:00:00.000","2013-01-31T00:00:00.000","0.0390","CLAUDIABABIC","2013-02-05T10:47:23.000","CLAUDIABABIC","2013-02-05T10:47:23.000","1"
"GBP","2013-03-21T00:00:00.000","2200-12-31T01:00:00.000","1.6500","DFETTIG","2013-03-21T16:17:43.000","DFETTIG","2013-03-21T16:17:43.000","1"
"CAD","2014-01-01T00:00:00.000","2014-12-31T00:00:00.000","0.6596","PFRANCESCA","2014-03-11T10:22:03.000","PFRANCESCA","2014-03-11T10:22:03.000","1"
"CAD","2015-03-01T00:00:00.000","2015-12-31T00:00:00.000","0.7400","DELIA","2015-03-19T10:42:28.000","DELIA","2015-03-19T10:42:28.000","1"
"CAD","2016-09-27T00:00:00.000","2016-09-27T00:00:00.000","0.6720","IPSPPESCIOLINI","2016-10-03T09:46:04.000","IPSPPESCIOLINI","2016-10-03T09:46:04.000","1"
"USD","2017-02-07T00:00:00.000","2200-12-31T01:00:00.000","0.9308","BIANCHIS","2017-02-14T09:48:03.000","BIANCHIS","2017-02-14T09:48:03.000","1"
