"cd_tipo_rapporto","cd_trattamento","dacr","utcr","duva","utuv","pg_ver_rec"
"PROF","T048CSP","2017-07-18T00:00:00.000","CED_RP","2017-07-18T00:00:00.000","CED_RP","1"
"PROF","R048CSP","2017-07-18T00:00:00.000","CED_RP","2017-07-18T00:00:00.000","CED_RP","1"
"PROF","T016SC","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","1"
"PROF","T016CSC","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","1"
"PROF","R021CSP","2017-07-18T00:00:00.000","CED_RP","2017-07-18T00:00:00.000","CED_RP","1"
"PROF","T018SC","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","1"
"PROF","T018CSC","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","1"
"PROF","T048C","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","1"
"PROF","T089C","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","1"
"PROF","T048","2003-02-17T00:00:00.000","$$$$$CINECA$$$$$","2003-02-17T00:00:00.000","$$$$$CINECA$$$$$","1"
"PROF","T021SC","2003-07-11T00:00:00.000","$$$$$CINECA$$$$$","2003-07-11T00:00:00.000","$$$$$CINECA$$$$$","1"
"PROF","T021CSC","2003-07-11T00:00:00.000","$$$$$CINECA$$$$$","2003-07-11T00:00:00.000","$$$$$CINECA$$$$$","1"
"PROF","T019SC","2003-07-29T00:00:00.000","$$$$$CINECA$$$$$","2003-07-29T00:00:00.000","$$$$$CINECA$$$$$","1"
"PROF","T019CSC","2003-07-29T00:00:00.000","$$$$$CINECA$$$$$","2003-07-29T00:00:00.000","$$$$$CINECA$$$$$","1"
"PROF","T114","2003-11-28T00:00:00.000","$$$$$CINECA$$$$$","2003-11-28T00:00:00.000","$$$$$CINECA$$$$$","1"
"PROF","T255CSP","2017-08-03T00:00:00.000","CED_RP","2017-08-03T00:00:00.000","CED_RP","1"
