"pg_rif_inquadramento","cd_profilo","cd_progressione","cd_livello","ds_inquadramento","ti_dipendente_altro","cd_gruppo_inquadramento","dacr","utcr","duva","utuv","pg_ver_rec"
"35","0","0","NULL","Professore Universitario Ordinario I","A","2","2003-01-13T11:34:02.000","$$$$$CINECA$$$$$","2003-01-13T11:34:02.000","$$$$$CINECA$$$$$","1"
"36","0","0","NULL","Professore Universitario Ordinario II","A","7","2003-01-13T11:34:02.000","$$$$$CINECA$$$$$","2003-01-13T11:34:02.000","$$$$$CINECA$$$$$","1"
"37","0","0","NULL","Professore Universitario Ordinario III","A","8","2003-01-13T11:34:02.000","$$$$$CINECA$$$$$","2003-01-13T11:34:02.000","$$$$$CINECA$$$$$","1"
"38","0","0","NULL","Esperto di Alta Qualificazione","A","1","2003-01-13T11:34:02.000","$$$$$CINECA$$$$$","2003-01-13T11:34:02.000","$$$$$CINECA$$$$$","1"
"39","0","0","NULL","Dirigente di Strutture di Ricerca o Tecnico-scientifiche","A","1","2003-01-13T11:34:02.000","$$$$$CINECA$$$$$","2003-01-13T11:34:02.000","$$$$$CINECA$$$$$","1"
"40","0","0","NULL","Professore Universitario Associato","A","3","2003-01-13T11:34:02.000","$$$$$CINECA$$$$$","2003-01-13T11:34:02.000","$$$$$CINECA$$$$$","1"
"41","0","0","NULL","Professore Universitario Straordinario","A","3","2003-01-13T11:34:02.000","$$$$$CINECA$$$$$","2003-01-13T11:34:02.000","$$$$$CINECA$$$$$","1"
"42","0","0","NULL","Ricercatore Altri  Enti Ricerca e non","A","3","2003-01-13T11:34:02.000","$$$$$CINECA$$$$$","2003-01-13T11:34:02.000","$$$$$CINECA$$$$$","1"
"27","00","01","NULL","Direttore Generale","D","2","2003-01-13T11:34:02.000","$$$$$CINECA$$$$$","2003-01-13T11:34:02.000","$$$$$CINECA$$$$$","1"
"43","0","0","NULL","Assegnisti di Ricerca","A","3","2003-01-13T11:34:02.000","$$$$$CINECA$$$$$","2003-01-13T11:34:02.000","$$$$$CINECA$$$$$","1"
"44","0","0","NULL","Esperto","A","3","2003-01-13T11:34:02.000","$$$$$CINECA$$$$$","2003-01-13T11:34:02.000","$$$$$CINECA$$$$$","1"
"45","0","0","NULL","Incaricato di Ricerca","A","3","2003-01-13T11:34:02.000","$$$$$CINECA$$$$$","2003-01-13T11:34:02.000","$$$$$CINECA$$$$$","1"
"46","0","0","NULL","Ricercatori Universitari","A","4","2003-01-13T11:34:02.000","$$$$$CINECA$$$$$","2003-01-13T11:34:02.000","$$$$$CINECA$$$$$","1"
"47","0","0","NULL","Borsisti C.N.R.","A","4","2003-01-13T11:34:02.000","$$$$$CINECA$$$$$","2003-01-13T11:34:02.000","$$$$$CINECA$$$$$","1"
"48","0","0","NULL","VII, VIII, IX Qualifica Funzionale (Universit? e Impiegati Civili dello Stato)","A","4","2003-01-13T11:34:02.000","$$$$$CINECA$$$$$","2003-01-13T11:34:02.000","$$$$$CINECA$$$$$","1"
"49","0","0","NULL","III, IV, V, VI Qualifica Funzionale (Universit? e Personale Civile dello Stato)","A","5","2003-01-13T11:34:02.000","$$$$$CINECA$$$$$","2003-01-13T11:34:02.000","$$$$$CINECA$$$$$","1"
"50","01","0","NULL","I  livello - Dirigente Generale","D","1","2003-01-30T11:34:02.000","$$$$$CINECA$$$$$","2003-01-30T11:34:02.000","$$$$$CINECA$$$$$","1"
"51","02","0","NULL","Dirigente","D","3","2003-01-30T11:34:02.000","$$$$$CINECA$$$$$","2003-01-30T11:34:02.000","$$$$$CINECA$$$$$","1"
"52","03","0","NULL","Dirigente","D","3","2003-01-30T11:34:02.000","$$$$$CINECA$$$$$","2003-01-30T11:34:02.000","$$$$$CINECA$$$$$","1"
"86","D","11","NULL","Dirigente Generale Incaricato DCSGR","D","1","2010-06-03T11:46:08.000","FARINELLIR","2010-06-03T11:50:31.000","FARINELLIR","2"
"54","10","9","NULL","X  livello - Ausiliario di Amministrazione","D","6","2003-01-30T11:34:02.000","$$$$$CINECA$$$$$","2003-01-30T11:34:02.000","$$$$$CINECA$$$$$","1"
"55","D","0","NULL","Dirigente Generale Incaricato","D","1","2003-06-12T00:00:00.000","PG","2003-06-12T00:00:00.000","PG","1"
"56","00","07","NULL","Direttore Istituto ","D","1","2003-06-12T00:00:00.000","PG","2005-07-20T00:00:00.000","PG","2"
"57","00","08","NULL","Direttore di Istituto Incaricato","D","1","2003-06-12T00:00:00.000","PG","2005-07-20T00:00:00.000","PG","2"
"58","00","09","NULL","Direttore di Istituto Incaricato","D","1","2003-06-12T00:00:00.000","PG","2005-07-20T00:00:00.000","PG","2"
"59","00","10","NULL","Dirigente Ufficio III Direzione Generale","D","3","2004-01-09T10:43:31.000","CNR-PG","2005-07-20T10:43:41.000","PG","1"
"60","00","12","NULL","Direttore di Istituto Incaricato","D","1","2004-09-21T15:14:07.000","PG","2005-07-20T15:14:09.000","PG","1"
"63","00","13","NULL","Direttore di Istituto Incaricato","D","1","2005-07-20T10:43:31.000","PG","2005-07-20T10:43:41.000","PG","1"
"64","00","14","NULL","Direttore di Istituto Incaricato","D","1","2005-07-20T10:43:31.000","PG","2005-07-20T10:43:41.000","PG","1"
"65","00","17","NULL","Direttore di Istituto Incaricato","D","1","2005-07-20T10:43:31.000","PG","2005-07-20T10:43:41.000","PG","1"
"68","00","99","NULL","marie curie fellow","D","3","2006-01-16T14:42:51.000","PG","2006-01-16T14:42:55.000","PG","1"
"96","00","3I","NULL","Direttore di Istituto","D","1","2011-01-24T12:02:42.000","FARINELLIR","2011-01-24T12:04:47.000","FARINELLIR","3"
"82","00","25","NULL","Direttore di Istituto Incaricato","D","1","2007-05-31T12:34:09.000","NUCCILLIC","2007-05-31T12:34:09.000","NUCCILLIC","1"
"83","00","26","NULL","Direttore di Istituto Incaricato","D","1","2007-05-31T12:34:20.000","NUCCILLIC","2007-05-31T12:35:08.000","NUCCILLIC","2"
"101","00","Z2","NULL","Direttore di Dipartimento f.f.","D","1","2011-05-30T11:50:54.000","FARINELLIR","2011-05-30T11:50:54.000","FARINELLIR","1"
"105","00","3L","NULL","Direttore di Istituto","D","1","2014-07-03T14:41:52.000","FARINELLIR","2014-07-03T14:41:52.000","FARINELLIR","1"
