"cd_tipo_ammortamento","ti_ammortamento","cd_categoria_gruppo","esercizio_competenza","dt_cancellazione","utcr","dacr","utuv","duva","pg_ver_rec"
"10","O","3.3122","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:52.000","1"
"10","O","3.3280","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:52.000","1"
"10","O","3.3401","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:52.000","1"
"10","O","3.3481","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:52.000","1"
"10","O","3.1481","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:53.000","1"
"10","O","3.1641","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:53.000","1"
"10","O","3.1486","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:53.000","1"
"10","O","3.3881","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:53.000","1"
"10","O","3.8042","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:53.000","1"
"10","O","3.2783","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:53.000","1"
"10","O","3.7603","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:53.000","1"
"10","O","3.7604","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:53.000","1"
"10","O","3.7841","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:53.000","1"
"10","O","3.6962","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:53.000","1"
"10","O","3.1203","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:53.000","1"
"10","O","3.1485","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:53.000","1"
"10","O","3.1202","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:53.000","1"
"10","O","3.428","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:53.000","1"
"10","O","3.6722","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:53.000","1"
