"pg_call","par_num","proc_name","messagetouser","str01","str02","str03","str04","str05","str06","str07","str08","str09","str10","dt01","dt02","dt03","dt04","dt05","dt06","dt07","dt08","dt09","dt10","int01","int02","int03","int04","long01","long02","long03","long04","dec01","dec02","dec03","dec04","dec05","dec06","dec07","dec08","dec09","dec10","dacr","utcr","duva","utuv","pg_ver_rec"
"3145","18","CNRCTB610.liquidazMassivaMinicarriere","NULL","000","000.402","D","S","1.01.201","1.01.04.000.400.201.402","000.402.000","P0000001","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2003","2003","NULL","NULL","426","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2003-06-05T09:11:26.000","SPINUCCIA","2003-06-05T09:11:26.000","SPINUCCIA","1"
"3145","19","CNRCTB610.liquidazMassivaMinicarriere","NULL","000","000.402","D","S","1.01.201","1.01.04.000.400.201.402","000.402.000","P0000001","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2003","2003","NULL","NULL","426","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2003-06-05T09:11:26.000","SPINUCCIA","2003-06-05T09:11:26.000","SPINUCCIA","1"
"3145","20","CNRCTB610.liquidazMassivaMinicarriere","NULL","000","000.402","D","S","1.01.201","1.01.04.000.400.201.402","000.402.000","P0000001","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2003","2003","NULL","NULL","426","3","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2003-06-05T09:11:26.000","SPINUCCIA","2003-06-05T09:11:26.000","SPINUCCIA","1"
"3145","21","CNRCTB610.liquidazMassivaMinicarriere","NULL","000","000.402","D","S","1.01.201","1.01.04.000.400.201.402","000.402.000","P0000001","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2003","2003","NULL","NULL","427","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2003-06-05T09:11:26.000","SPINUCCIA","2003-06-05T09:11:26.000","SPINUCCIA","1"
"3145","22","CNRCTB610.liquidazMassivaMinicarriere","NULL","000","000.402","D","S","1.01.201","1.01.04.000.400.201.402","000.402.000","P0000001","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2003","2003","NULL","NULL","427","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2003-06-05T09:11:26.000","SPINUCCIA","2003-06-05T09:11:26.000","SPINUCCIA","1"
"3145","23","CNRCTB610.liquidazMassivaMinicarriere","NULL","000","000.402","D","S","1.01.201","1.01.04.000.400.201.402","000.402.000","P0000001","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2003","2003","NULL","NULL","427","3","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2003-06-05T09:11:26.000","SPINUCCIA","2003-06-05T09:11:26.000","SPINUCCIA","1"
"3145","24","CNRCTB610.liquidazMassivaMinicarriere","NULL","000","000.402","D","S","1.01.201","1.01.04.000.400.201.402","000.402.000","P0000001","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2003","2003","NULL","NULL","428","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2003-06-05T09:11:26.000","SPINUCCIA","2003-06-05T09:11:26.000","SPINUCCIA","1"
"3145","25","CNRCTB610.liquidazMassivaMinicarriere","NULL","000","000.402","D","S","1.01.201","1.01.04.000.400.201.402","000.402.000","P0000001","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2003","2003","NULL","NULL","428","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2003-06-05T09:11:26.000","SPINUCCIA","2003-06-05T09:11:26.000","SPINUCCIA","1"
"3145","26","CNRCTB610.liquidazMassivaMinicarriere","NULL","000","000.402","D","S","1.01.201","1.01.04.000.400.201.402","000.402.000","P0000001","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2003","2003","NULL","NULL","429","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2003-06-05T09:11:26.000","SPINUCCIA","2003-06-05T09:11:26.000","SPINUCCIA","1"
"3145","27","CNRCTB610.liquidazMassivaMinicarriere","NULL","000","000.402","D","S","1.01.201","1.01.04.000.400.201.402","000.402.000","P0000001","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2003","2003","NULL","NULL","429","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2003-06-05T09:11:26.000","SPINUCCIA","2003-06-05T09:11:26.000","SPINUCCIA","1"
"1434","0","CNRCTB610.liquidazMassivaMinicarriere","NULL","000","000.402","D","S","1.01.201","1.01.04.000.400.201.402","000.402.000","P0000001","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2003","2003","NULL","NULL","55","4","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2003-04-03T10:21:06.000","SPINUCCIA","2003-04-03T10:21:06.000","SPINUCCIA","1"
"1434","1","CNRCTB610.liquidazMassivaMinicarriere","NULL","000","000.402","D","S","1.01.201","1.01.04.000.400.201.402","000.402.000","P0000001","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2003","2003","NULL","NULL","58","4","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2003-04-03T10:21:06.000","SPINUCCIA","2003-04-03T10:21:06.000","SPINUCCIA","1"
"1434","2","CNRCTB610.liquidazMassivaMinicarriere","NULL","000","000.402","D","S","1.01.201","1.01.04.000.400.201.402","000.402.000","P0000001","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2003","2003","NULL","NULL","59","4","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2003-04-03T10:21:06.000","SPINUCCIA","2003-04-03T10:21:06.000","SPINUCCIA","1"
"1434","3","CNRCTB610.liquidazMassivaMinicarriere","NULL","000","000.402","D","S","1.01.201","1.01.04.000.400.201.402","000.402.000","P0000001","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2003","2003","NULL","NULL","61","4","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2003-04-03T10:21:06.000","SPINUCCIA","2003-04-03T10:21:06.000","SPINUCCIA","1"
"1434","4","CNRCTB610.liquidazMassivaMinicarriere","NULL","000","000.402","D","S","1.01.201","1.01.04.000.400.201.402","000.402.000","P0000001","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2003","2003","NULL","NULL","63","4","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2003-04-03T10:21:06.000","SPINUCCIA","2003-04-03T10:21:06.000","SPINUCCIA","1"
"1434","5","CNRCTB610.liquidazMassivaMinicarriere","NULL","000","000.402","D","S","1.01.201","1.01.04.000.400.201.402","000.402.000","P0000001","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2003","2003","NULL","NULL","64","4","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2003-04-03T10:21:06.000","SPINUCCIA","2003-04-03T10:21:06.000","SPINUCCIA","1"
"3145","28","CNRCTB610.liquidazMassivaMinicarriere","NULL","000","000.402","D","S","1.01.201","1.01.04.000.400.201.402","000.402.000","P0000001","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2003","2003","NULL","NULL","429","3","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2003-06-05T09:11:26.000","SPINUCCIA","2003-06-05T09:11:26.000","SPINUCCIA","1"
"3145","29","CNRCTB610.liquidazMassivaMinicarriere","NULL","000","000.402","D","S","1.01.201","1.01.04.000.400.201.402","000.402.000","P0000001","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2003","2003","NULL","NULL","430","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2003-06-05T09:11:26.000","SPINUCCIA","2003-06-05T09:11:26.000","SPINUCCIA","1"
"3145","30","CNRCTB610.liquidazMassivaMinicarriere","NULL","000","000.402","D","S","1.01.201","1.01.04.000.400.201.402","000.402.000","P0000001","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2003","2003","NULL","NULL","430","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2003-06-05T09:11:26.000","SPINUCCIA","2003-06-05T09:11:26.000","SPINUCCIA","1"
"3145","31","CNRCTB610.liquidazMassivaMinicarriere","NULL","000","000.402","D","S","1.01.201","1.01.04.000.400.201.402","000.402.000","P0000001","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2003","2003","NULL","NULL","430","3","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2003-06-05T09:11:26.000","SPINUCCIA","2003-06-05T09:11:26.000","SPINUCCIA","1"
"3145","32","CNRCTB610.liquidazMassivaMinicarriere","NULL","000","000.402","D","S","1.01.201","1.01.04.000.400.201.402","000.402.000","P0000001","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2003","2003","NULL","NULL","430","4","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2003-06-05T09:11:26.000","SPINUCCIA","2003-06-05T09:11:26.000","SPINUCCIA","1"
"3145","33","CNRCTB610.liquidazMassivaMinicarriere","NULL","000","000.402","D","S","1.01.201","1.01.04.000.400.201.402","000.402.000","P0000001","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2003","2003","NULL","NULL","430","5","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2003-06-05T09:11:26.000","SPINUCCIA","2003-06-05T09:11:26.000","SPINUCCIA","1"
"3145","34","CNRCTB610.liquidazMassivaMinicarriere","NULL","000","000.402","D","S","1.01.201","1.01.04.000.400.201.402","000.402.000","P0000001","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2003","2003","NULL","NULL","430","6","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2003-06-05T09:11:26.000","SPINUCCIA","2003-06-05T09:11:26.000","SPINUCCIA","1"
"3145","35","CNRCTB610.liquidazMassivaMinicarriere","NULL","000","000.402","D","S","1.01.201","1.01.04.000.400.201.402","000.402.000","P0000001","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2003","2003","NULL","NULL","430","7","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2003-06-05T09:11:26.000","SPINUCCIA","2003-06-05T09:11:26.000","SPINUCCIA","1"
"3145","0","CNRCTB610.liquidazMassivaMinicarriere","NULL","000","000.402","D","S","1.01.201","1.01.04.000.400.201.402","000.402.000","P0000001","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2003","2003","NULL","NULL","420","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2003-06-05T09:11:26.000","SPINUCCIA","2003-06-05T09:11:26.000","SPINUCCIA","1"
"3145","1","CNRCTB610.liquidazMassivaMinicarriere","NULL","000","000.402","D","S","1.01.201","1.01.04.000.400.201.402","000.402.000","P0000001","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2003","2003","NULL","NULL","420","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2003-06-05T09:11:26.000","SPINUCCIA","2003-06-05T09:11:26.000","SPINUCCIA","1"
"3145","2","CNRCTB610.liquidazMassivaMinicarriere","NULL","000","000.402","D","S","1.01.201","1.01.04.000.400.201.402","000.402.000","P0000001","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2003","2003","NULL","NULL","420","3","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2003-06-05T09:11:26.000","SPINUCCIA","2003-06-05T09:11:26.000","SPINUCCIA","1"
"3145","3","CNRCTB610.liquidazMassivaMinicarriere","NULL","000","000.402","D","S","1.01.201","1.01.04.000.400.201.402","000.402.000","P0000001","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2003","2003","NULL","NULL","421","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2003-06-05T09:11:26.000","SPINUCCIA","2003-06-05T09:11:26.000","SPINUCCIA","1"
"3145","4","CNRCTB610.liquidazMassivaMinicarriere","NULL","000","000.402","D","S","1.01.201","1.01.04.000.400.201.402","000.402.000","P0000001","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2003","2003","NULL","NULL","421","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2003-06-05T09:11:26.000","SPINUCCIA","2003-06-05T09:11:26.000","SPINUCCIA","1"
"3145","5","CNRCTB610.liquidazMassivaMinicarriere","NULL","000","000.402","D","S","1.01.201","1.01.04.000.400.201.402","000.402.000","P0000001","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2003","2003","NULL","NULL","421","3","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2003-06-05T09:11:26.000","SPINUCCIA","2003-06-05T09:11:26.000","SPINUCCIA","1"
"3145","6","CNRCTB610.liquidazMassivaMinicarriere","NULL","000","000.402","D","S","1.01.201","1.01.04.000.400.201.402","000.402.000","P0000001","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2003","2003","NULL","NULL","422","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2003-06-05T09:11:26.000","SPINUCCIA","2003-06-05T09:11:26.000","SPINUCCIA","1"
"3145","7","CNRCTB610.liquidazMassivaMinicarriere","NULL","000","000.402","D","S","1.01.201","1.01.04.000.400.201.402","000.402.000","P0000001","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2003","2003","NULL","NULL","422","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2003-06-05T09:11:26.000","SPINUCCIA","2003-06-05T09:11:26.000","SPINUCCIA","1"
