"cd_trattamento","cd_ti_compenso","dt_inizio_validita","ds_ti_compenso","fl_registra_fattura","fl_diaria","dt_fine_validita","duva","utcr","dacr","utuv","pg_ver_rec"
"T201","03","2011-01-01T00:00:00.000","Somme liquidate a seguito di pignoramenti presso terzi","N","N","2050-12-31T00:00:00.000","2012-03-06T00:00:00.000","CED","2012-03-06T00:00:00.000","CED","1"
"T084","02","2004-01-01T00:00:00.000","Collaborazione coordinata e continuativa","N","N","2050-12-31T00:00:00.000","2005-01-31T00:00:00.000","CED","2005-01-31T00:00:00.000","CED","1"
"T084C","02","2004-01-01T00:00:00.000","Collaborazione coordinata e continuativa","N","N","2050-12-31T00:00:00.000","2005-01-31T00:00:00.000","CED","2005-01-31T00:00:00.000","CED","1"
"T117","02","2004-01-01T00:00:00.000","Collaborazione coordinata e continuativa","N","N","2050-12-31T00:00:00.000","2005-01-31T00:00:00.000","CED","2005-01-31T00:00:00.000","CED","1"
"T117C","02","2004-01-01T00:00:00.000","Collaborazione coordinata e continuativa","N","N","2050-12-31T00:00:00.000","2005-01-31T00:00:00.000","CED","2005-01-31T00:00:00.000","CED","1"
"R021C","A","2008-01-01T00:00:00.000","Prestazioni di lavoro autonomo rientranti nell'esercizio di arte o professione abituale","N","N","2050-12-31T00:00:00.000","2009-03-05T00:00:00.000","CED","2009-03-05T00:00:00.000","CED","1"
"T133","M","2005-01-01T00:00:00.000","Prestazioni di lavoro autonomo non esercitate abitualmente","N","N","2050-12-31T00:00:00.000","2006-03-01T00:00:00.000","CED","2006-03-01T00:00:00.000","CED","1"
"T134","M","2005-01-01T00:00:00.000","Prestazioni di lavoro autonomo non esercitate abitualmente","N","N","2050-12-31T00:00:00.000","2006-03-01T00:00:00.000","CED","2006-03-01T00:00:00.000","CED","1"
"T056C","B","2010-01-01T00:00:00.000","Utilizzazione economica da parte dell'autore o dell'inventore di brevetti","N","N","2050-12-31T00:00:00.000","2010-05-19T00:00:00.000","CED","2010-05-19T00:00:00.000","CED","1"
"T057C","B","2010-01-01T00:00:00.000","Utilizzazione economica da parte dell'autore o dell'inventore di brevetti","N","N","2050-12-31T00:00:00.000","2010-05-19T00:00:00.000","CED","2010-05-19T00:00:00.000","CED","1"
"T058C","L","2010-01-01T00:00:00.000","Utilizzazione economica da parte di soggetto diverso dall'autore o dall'inventore di brevetti","N","N","2050-12-31T00:00:00.000","2010-05-19T00:00:00.000","CED","2010-05-19T00:00:00.000","CED","1"
"T141","D","2005-01-01T00:00:00.000","Contributi degli Enti Pubblici","N","N","2050-12-31T00:00:00.000","2006-03-01T00:00:00.000","CED","2006-03-01T00:00:00.000","CED","1"
"T141C","D","2005-01-01T00:00:00.000","Contributi degli Enti Pubblici","N","N","2050-12-31T00:00:00.000","2006-03-01T00:00:00.000","CED","2006-03-01T00:00:00.000","CED","1"
"T141SC","D","2005-01-01T00:00:00.000","Contributi degli Enti Pubblici","N","N","2050-12-31T00:00:00.000","2006-03-01T00:00:00.000","CED","2006-03-01T00:00:00.000","CED","1"
"T141CSC","D","2005-01-01T00:00:00.000","Contributi degli Enti Pubblici","N","N","2050-12-31T00:00:00.000","2006-03-01T00:00:00.000","CED","2006-03-01T00:00:00.000","CED","1"
"T132","M","2005-01-01T00:00:00.000","Prestazioni di lavoro autonomo non esercitate abitualmente","N","N","2050-12-31T00:00:00.000","2006-03-01T00:00:00.000","CED","2006-03-01T00:00:00.000","CED","1"
"T132C","M","2005-01-01T00:00:00.000","Prestazioni di lavoro autonomo non esercitate abitualmente","N","N","2050-12-31T00:00:00.000","2006-03-01T00:00:00.000","CED","2006-03-01T00:00:00.000","CED","1"
"T133C","M","2005-01-01T00:00:00.000","Prestazioni di lavoro autonomo non esercitate abitualmente","N","N","2050-12-31T00:00:00.000","2006-03-01T00:00:00.000","CED","2006-03-01T00:00:00.000","CED","1"
