"esercizio","cd_contributo_ritenuta","cd_gruppo_cr","dacr","utcr","duva","utuv","pg_ver_rec"
"2018","F24IRAP1","F24IRAP1","2018-01-08T14:48:52.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:52.000","$$$$RIBALTAMENTO$$$$","1"
"2018","F24IRAP2","F24IRAP2","2018-01-08T14:48:52.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:52.000","$$$$RIBALTAMENTO$$$$","1"
"2018","F24IRAPSAL","F24IRAPSAL","2018-01-08T14:48:52.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:52.000","$$$$RIBALTAMENTO$$$$","1"
"2018","F24IRES1","F24IRES1","2018-01-08T14:48:52.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:52.000","$$$$RIBALTAMENTO$$$$","1"
"2018","F24IRES2","F24IRES2","2018-01-08T14:48:52.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:52.000","$$$$RIBALTAMENTO$$$$","1"
"2018","F24IRESSAL","F24IRESSAL","2018-01-08T14:48:52.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:52.000","$$$$RIBALTAMENTO$$$$","1"
"2018","IRAP","IRAP","2018-01-08T14:48:52.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:52.000","$$$$RIBALTAMENTO$$$$","1"
"2018","IRAPCOM","IRAPCOM","2018-01-08T14:48:52.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:52.000","$$$$RIBALTAMENTO$$$$","1"
"2018","IRPEFSTRA","1040","2018-01-08T14:48:52.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:52.000","$$$$RIBALTAMENTO$$$$","1"
"2018","IVA","IVA","2018-01-08T14:48:52.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:52.000","$$$$RIBALTAMENTO$$$$","1"
"2018","RAIRPEF","1040","2018-01-08T14:48:52.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:52.000","$$$$RIBALTAMENTO$$$$","1"
"2018","RECIRAP","IRAP","2018-01-08T14:48:52.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:52.000","$$$$RIBALTAMENTO$$$$","1"
"2018","RECRITE","RECRITE","2018-01-08T14:48:52.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:52.000","$$$$RIBALTAMENTO$$$$","1"
