"cd_procedura","nome_parametro","pg_valore_parametro","valore_varchar","valore_date","valore_number","dacr","utuv","duva","utcr","pg_ver_rec"
"QUADRATURACDRLINEA06","ACDCDS","546","112","NULL","NULL","2017-01-24T14:36:15.000","RPUCCIARELLI","2017-01-24T14:36:15.000","RPUCCIARELLI","1"
"QUADRATURACDRLINEA06","ACDUO","414","112.000","NULL","NULL","2017-01-24T14:36:15.000","RPUCCIARELLI","2017-01-24T14:36:15.000","RPUCCIARELLI","1"
"QUADRATURACDRLINEA06","ACDCDR","339","004.002.000","NULL","NULL","2016-09-13T12:07:43.000","RPUCCIARELLI","2016-09-13T12:07:43.000","RPUCCIARELLI","1"
"QUADRATURACDRLINEA06","ACD_VOCE","211","11023","NULL","NULL","2016-09-13T12:07:43.000","RPUCCIARELLI","2016-09-13T12:07:43.000","RPUCCIARELLI","1"
"QUADRATURACDRLINEA06","AES","252","NULL","NULL","2016.000000","2017-03-01T16:05:23.000","RPUCCIARELLI","2017-03-01T16:05:23.000","RPUCCIARELLI","1"
"CONTROLLOQUADRATURA","AES","6","NULL","NULL","2008.000000","2008-02-13T15:57:24.000","CROSATI","2008-02-13T15:57:24.000","CROSATI","1"
"CONTROLLOQUADRATURA","ACDCDS","12","112","NULL","NULL","2008-02-13T15:57:24.000","CROSATI","2008-02-13T15:57:24.000","CROSATI","1"
"CONTROLLOQUADRATURA","AES","7","NULL","NULL","2007.000000","2008-05-19T18:19:03.000","CROSATI","2008-05-19T18:19:03.000","CROSATI","1"
"CONTROLLOQUADRATURA","ACDCDS","13","999","NULL","NULL","2008-05-19T18:19:03.000","CROSATI","2008-05-19T18:19:03.000","CROSATI","1"
"CONTROLLOQUADRATURA","ISMODIFICA","14","N","NULL","NULL","2008-05-19T18:19:03.000","CROSATI","2008-05-19T18:19:03.000","CROSATI","1"
"CONTROLLOQUADRATURA","ACDCDS","7","059","NULL","NULL","2007-01-16T13:37:56.000","CROSATI","2007-01-16T13:37:56.000","CROSATI","1"
"QUADRATURACDRLINEA06","AES","136","NULL","NULL","2012.000000","2013-07-05T12:08:06.000","RPUCCIARELLI","2013-07-05T12:08:06.000","RPUCCIARELLI","1"
"REGISTRAANNCOGEESCHI","ACDCDS","5","035","NULL","NULL","2007-05-31T19:06:49.000","CROSATI","2007-05-31T19:06:49.000","CROSATI","1"
"QUADRATURACDRLINEA06","ACDCDS","550","074","NULL","NULL","2017-01-24T17:14:08.000","RPUCCIARELLI","2017-01-24T17:14:08.000","RPUCCIARELLI","1"
"QUADRATURACDRLINEA06","AES","164","NULL","NULL","2014.000000","2015-07-03T12:39:53.000","RPUCCIARELLI","2015-07-03T12:39:53.000","RPUCCIARELLI","1"
"QUADRATURACDRLINEA06","ACDUO","411","000.403","NULL","NULL","2017-01-04T13:16:07.000","CROSATI","2017-01-04T13:16:07.000","CROSATI","1"
"QUADRATURACDRLINEA06","ACDCDR","341","000.403.000","NULL","NULL","2017-01-04T13:16:07.000","CROSATI","2017-01-04T13:16:07.000","CROSATI","1"
"REGISTRAANNCOGEESCHI","AESANN","7","NULL","NULL","2009.000000","2010-01-22T10:23:51.000","SFUSCO","2010-01-22T10:23:51.000","SFUSCO","1"
"REGISTRACOGECOAN","ACDCDS","632","303","NULL","NULL","2016-05-30T18:56:18.000","RPUCCIARELLI","2016-05-30T18:56:18.000","RPUCCIARELLI","1"
"QUADRATURACDRLINEA06","ACDCDS","554","999","NULL","NULL","2017-03-01T16:05:23.000","RPUCCIARELLI","2017-03-01T16:05:23.000","RPUCCIARELLI","1"
"QUADRATURACDRLINEA06","ACDUO","417","TUTTI","NULL","NULL","2017-03-01T16:05:23.000","RPUCCIARELLI","2017-03-01T16:05:23.000","RPUCCIARELLI","1"
"QUADRATURACDRLINEA06","ACDCDR","344","TUTTI","NULL","NULL","2017-03-01T16:05:23.000","RPUCCIARELLI","2017-03-01T16:05:23.000","RPUCCIARELLI","1"
"QUADRATURACDRLINEA06","ACD_VOCE","216","TUTTI","NULL","NULL","2017-03-01T16:05:23.000","RPUCCIARELLI","2017-03-01T16:05:23.000","RPUCCIARELLI","1"
"REGISTRAANNCOGEESCHI","ACDCDS","7","110","NULL","NULL","2009-01-22T12:53:14.000","SFUSCO","2009-01-22T12:53:14.000","SFUSCO","1"
"QUADRATURACDRLINEA06","ACD_LINEA_ATTIVITA","206","TUTTI","NULL","NULL","2017-03-01T16:05:23.000","RPUCCIARELLI","2017-03-01T16:05:23.000","RPUCCIARELLI","1"
"QUADRATURACDRLINEA06","ISMODIFICA","176","Y","NULL","NULL","2017-03-01T16:05:23.000","RPUCCIARELLI","2017-03-01T16:05:23.000","RPUCCIARELLI","1"
"REGISTRAANNCOGEESCHI","AESANN","9","NULL","NULL","2011.000000","2012-05-15T16:30:26.000","RPUCCIARELLI","2012-05-15T16:30:26.000","RPUCCIARELLI","1"
"CONTROLLOQUADRATURA","ACDCDS","10","026","NULL","NULL","2007-03-30T11:49:48.000","CROSATI","2007-03-30T11:49:48.000","CROSATI","1"
"REGISTRAANNCOGEESCHI","AESANN","8","NULL","NULL","2010.000000","2011-05-17T17:08:14.000","SFUSCO","2011-05-17T17:08:14.000","SFUSCO","1"
"CONTROLLOQUADRATURA","AES","4","NULL","NULL","2006.000000","2007-04-23T14:47:56.000","CROSATI","2007-04-23T14:47:56.000","CROSATI","1"
"CONTROLLOQUADRATURA","AES","3","NULL","NULL","2005.000000","2006-12-20T13:33:01.000","CROSATI","2006-12-20T13:33:01.000","CROSATI","1"
"REGISTRAANNCOGEESCHI","ACDCDS","4","999","NULL","NULL","2007-05-31T19:05:29.000","CROSATI","2007-05-31T19:05:29.000","CROSATI","1"
"RITORNOCASSIERE","ANOMEFILE","184","200310060180.EXP","NULL","NULL","2003-10-07T14:38:23.000","CINCASSIERE","2003-10-07T14:38:23.000","CINCASSIERE","1"
"RITORNOCASSIERE","AES","1","NULL","NULL","2003.000000","2003-10-13T12:19:04.000","CINCASSIERE","2003-10-13T12:19:04.000","CINCASSIERE","1"
"RITORNOCASSIERE","ANOMEFILE","187","200310100183.EXP","NULL","NULL","2003-10-13T12:19:04.000","CINCASSIERE","2003-10-13T12:19:04.000","CINCASSIERE","1"
"RITORNOCASSIERE","ANOMEFILE","186","200310090182.EXP","NULL","NULL","2003-10-10T14:28:09.000","CINCASSIERE","2003-10-10T14:28:09.000","CINCASSIERE","1"
"RITORNOCASSIERE","ANOMEFILE","181","200310030178.EXP","NULL","NULL","2003-10-03T12:55:57.000","CINCASSIERE","2003-10-03T12:55:57.000","CINCASSIERE","1"
"RITORNOCASSIERE","ANOMEFILE","182","200310020178.EXP","NULL","NULL","2003-10-03T14:36:24.000","CINCASSIERE","2003-10-03T14:36:24.000","CINCASSIERE","1"
"CONTROLLOQUADRATURA","ACDCDS","9","314","NULL","NULL","2007-02-20T16:07:06.000","CROSATI","2007-02-20T16:07:06.000","CROSATI","1"
"RITORNOCASSIERE","ANOMEFILE","183","200310030179.EXP","NULL","NULL","2003-10-06T14:34:35.000","CINCASSIERE","2003-10-06T14:34:35.000","CINCASSIERE","1"
"RITORNOCASSIERE","AUSER","2","cincassiere","NULL","NULL","2003-07-22T17:45:58.000","CINCASSIERE","2003-07-22T17:45:58.000","CINCASSIERE","1"
"RITORNOCASSIERE","ANOMEFILE","185","200310080181.EXP","NULL","NULL","2003-10-09T13:25:37.000","CINCASSIERE","2003-10-09T13:25:37.000","CINCASSIERE","1"
"RITORNOCASSIERE","AUSER","3","CINCASSIERE","NULL","NULL","2003-10-13T12:19:04.000","CINCASSIERE","2003-10-13T12:19:04.000","CINCASSIERE","1"
"CONTROLLOQUADRATURA","ISMODIFICA","13","Y","NULL","NULL","2007-02-20T16:07:06.000","CROSATI","2007-02-20T16:07:06.000","CROSATI","1"
"CONTROLLOQUADRATURA","ACDCDS","8","110","NULL","NULL","2007-01-16T19:00:15.000","CROSATI","2007-01-16T19:00:15.000","CROSATI","1"
"REGISTRAANNCOGEESCHI","ACDCDS","2","055","NULL","NULL","2006-06-15T09:43:50.000","055C","2006-06-15T09:43:50.000","055C","1"
"REGISTRACOGECOAN","AES","88","NULL","NULL","2015.000000","2016-06-13T12:28:24.000","RPUCCIARELLI","2016-06-13T12:28:24.000","RPUCCIARELLI","1"
"REGISTRAANNCOGEESCHI","AESANN","12","NULL","NULL","2014.000000","2015-05-25T17:49:45.000","RPUCCIARELLI","2015-05-25T17:49:45.000","RPUCCIARELLI","1"
"REGISTRACOGECOAN","ACDCDS","636","*","NULL","NULL","2016-05-31T13:13:42.000","RPUCCIARELLI","2016-05-31T13:13:42.000","RPUCCIARELLI","1"
"REGISTRACOGECOAN","AES","79","NULL","NULL","2014.000000","2015-06-24T14:50:16.000","RPUCCIARELLI","2015-06-24T14:50:16.000","RPUCCIARELLI","1"
"QUADRATURACDRLINEA06","AES","251","NULL","NULL","2017.000000","2017-03-01T16:05:03.000","RPUCCIARELLI","2017-03-01T16:05:03.000","RPUCCIARELLI","1"
"REGISTRACOGECOAN","ACDCDS","639","000","NULL","NULL","2016-06-13T12:28:24.000","RPUCCIARELLI","2016-06-13T12:28:24.000","RPUCCIARELLI","1"
"QUADRATURACDRLINEA06","ACD_VOCE","207","11002","NULL","NULL","2016-05-09T17:15:04.000","CROSATI","2016-05-09T17:15:04.000","CROSATI","1"
"QUADRATURACDRLINEA06","ACDCDR","333","115.001.000","NULL","NULL","2016-04-12T14:52:59.000","RPAGANO","2016-04-12T14:52:59.000","RPAGANO","1"
"QUADRATURACDRLINEA06","ACD_LINEA_ATTIVITA","199","PULNNL01","NULL","NULL","2016-04-12T14:52:59.000","RPAGANO","2016-04-12T14:52:59.000","RPAGANO","1"
"QUADRATURACDRLINEA06","ISMODIFICA","175","N","NULL","NULL","2017-01-10T09:27:27.000","RPUCCIARELLI","2017-01-10T09:27:27.000","RPUCCIARELLI","1"
"QUADRATURACDRLINEA06","ACD_VOCE","213","11013","NULL","NULL","2017-01-04T12:01:07.000","CROSATI","2017-01-04T12:01:07.000","CROSATI","1"
"QUADRATURACDRLINEA06","ACD_LINEA_ATTIVITA","205","P0000007","NULL","NULL","2017-01-04T12:01:07.000","CROSATI","2017-01-04T12:01:07.000","CROSATI","1"
