"esercizio","cd_causale_coge","ds_causale","ti_causale_coge","centro_costo","dt_cancellazione","dacr","duva","utuv","utcr","pg_ver_rec"
"2012","DISMISSIONE_BENE_DUREVOLE","Dismissione di bene durevole","A","NULL","NULL","2011-12-29T12:10:30.000","2011-12-29T12:10:30.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"2012","PERDITE_SU_CAMBI","Perdite su cambi per crediti/debiti","A","NULL","NULL","2011-12-29T12:10:30.000","2011-12-29T12:10:30.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"2012","RATEI","Ratei","A","NULL","NULL","2011-12-29T12:10:30.000","2011-12-29T12:10:30.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"2012","RATEI_P2","Ratei parte 2","A","NULL","NULL","2011-12-29T12:10:30.000","2011-12-29T12:10:30.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"2012","RIAPERTURA_CONTI","Riapertura dei conti","A","NULL","NULL","2011-12-29T12:10:30.000","2011-12-29T12:10:30.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"2012","RISCONTI","Risconti","A","NULL","NULL","2011-12-29T12:10:30.000","2011-12-29T12:10:30.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"2012","RISCONTI_P2","Risconti parte 2","A","NULL","NULL","2011-12-29T12:10:30.000","2011-12-29T12:10:30.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"2012","UTILE_SU_CAMBI","Utile su cambi per crediti/debiti","A","NULL","NULL","2011-12-29T12:10:30.000","2011-12-29T12:10:30.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"2012","PAGAMENTO_1210","Pagamento documento con modulo 1210","A","NULL","NULL","2011-12-29T12:10:30.000","2011-12-29T12:10:30.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"2012","CASSA_BANCA","Scrittura cassa banca","A","NULL","NULL","2011-12-29T12:10:30.000","2011-12-29T12:10:30.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"2012","LIQUID_IVA_VENDITE","Liquidazione IVA vendite","A","NULL","NULL","2011-12-29T12:10:30.000","2011-12-29T12:10:30.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"2012","LIQUID_IVA_ACQUISTI","Liquidazione IVA acquisti","A","NULL","NULL","2011-12-29T12:10:30.000","2011-12-29T12:10:30.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"2012","LIQUID_IVA_SALDO","Liquidazione IVA saldo versato","A","NULL","NULL","2011-12-29T12:10:30.000","2011-12-29T12:10:30.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"2012","CARICO_BENE_DUREVOLE","Carico di bene durevole","A","NULL","NULL","2011-12-29T12:10:30.000","2011-12-29T12:10:30.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"2012","MIGRAZIONE_BENI","Migrazione beni durevoli","A","NULL","NULL","2011-12-29T12:10:30.000","2011-12-29T12:10:30.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"2002","PERDITE_SU_CAMBI","Perdite su cambi per crediti/debiti","A","NULL","NULL","2002-06-03T00:00:00.000","2002-06-03T00:00:00.000","$$$$$MIGRAZIONE$$$$$","$$$$$MIGRAZIONE$$$$$","1"
"2002","UTILE_SU_CAMBI","Utile su cambi per crediti/debiti","A","NULL","NULL","2002-06-03T00:00:00.000","2002-06-03T00:00:00.000","$$$$$MIGRAZIONE$$$$$","$$$$$MIGRAZIONE$$$$$","1"
"2002","DISMISSIONE_BENE_DUREVOLE","Dismissione di bene durevole","A","NULL","NULL","2002-06-03T00:00:00.000","2002-06-03T00:00:00.000","$$$$$MIGRAZIONE$$$$$","$$$$$MIGRAZIONE$$$$$","1"
"2003","AMMORTAMENTO","Ammortamento","A","NULL","NULL","2003-09-10T13:18:02.000","2003-09-10T13:18:02.000","$$$$$MIGRAZIONE$$$$$","$$$$$MIGRAZIONE$$$$$","1"
"2003","ANNULLAMENTO_DOC_ESERCIZIO_CHIUSO","Annullamento (congelamento) di documento amministrativo di esercizio chiuso","A","NULL","NULL","2003-09-10T13:18:02.000","2003-09-10T13:18:02.000","$$$$$MIGRAZIONE$$$$$","$$$$$MIGRAZIONE$$$$$","1"
"2003","CHIUSURA_CONTO_ECONOMICO","Chiusura del conto economico","A","NULL","NULL","2003-09-10T13:18:02.000","2003-09-10T13:18:02.000","$$$$$MIGRAZIONE$$$$$","$$$$$MIGRAZIONE$$$$$","1"
"2003","CHIUSURA_STATO_PATRIMONIALE","Chiusura dello stato patrimoniale","A","NULL","NULL","2003-09-10T13:18:02.000","2003-09-10T13:18:02.000","$$$$$MIGRAZIONE$$$$$","$$$$$MIGRAZIONE$$$$$","1"
"2003","DETERMINAZIONE_UTILE_PERDITA","Determinazione utile/perdita d'esercizio","A","NULL","NULL","2003-09-10T13:18:02.000","2003-09-10T13:18:02.000","$$$$$MIGRAZIONE$$$$$","$$$$$MIGRAZIONE$$$$$","1"
"2003","DISMISSIONE_BENE_DUREVOLE","Dismissione di bene durevole","A","NULL","NULL","2003-09-10T13:18:02.000","2003-09-10T13:18:02.000","$$$$$MIGRAZIONE$$$$$","$$$$$MIGRAZIONE$$$$$","1"
"2003","PERDITE_SU_CAMBI","Perdite su cambi per crediti/debiti","A","NULL","NULL","2003-09-10T13:18:02.000","2003-09-10T13:18:02.000","$$$$$MIGRAZIONE$$$$$","$$$$$MIGRAZIONE$$$$$","1"
"2003","RATEI","Ratei","A","NULL","NULL","2003-09-10T13:18:02.000","2003-09-10T13:18:02.000","$$$$$MIGRAZIONE$$$$$","$$$$$MIGRAZIONE$$$$$","1"
"2003","RATEI_P2","Ratei parte 2","A","NULL","NULL","2003-09-10T13:18:02.000","2003-09-10T13:18:02.000","$$$$$MIGRAZIONE$$$$$","$$$$$MIGRAZIONE$$$$$","1"
"2003","RIAPERTURA_CONTI","Riapertura dei conti","A","NULL","NULL","2003-09-10T13:18:02.000","2003-09-10T13:18:02.000","$$$$$MIGRAZIONE$$$$$","$$$$$MIGRAZIONE$$$$$","1"
"2003","RISCONTI","Risconti","A","NULL","NULL","2003-09-10T13:18:02.000","2003-09-10T13:18:02.000","$$$$$MIGRAZIONE$$$$$","$$$$$MIGRAZIONE$$$$$","1"
"2003","RISCONTI_P2","Risconti parte 2","A","NULL","NULL","2003-09-10T13:18:02.000","2003-09-10T13:18:02.000","$$$$$MIGRAZIONE$$$$$","$$$$$MIGRAZIONE$$$$$","1"
"2003","UTILE_SU_CAMBI","Utile su cambi per crediti/debiti","A","NULL","NULL","2003-09-10T13:18:02.000","2003-09-10T13:18:02.000","$$$$$MIGRAZIONE$$$$$","$$$$$MIGRAZIONE$$$$$","1"
"2003","PAGAMENTO_1210","Pagamento documento con modulo 1210","A","NULL","NULL","2003-09-10T13:18:02.000","2003-09-10T13:18:02.000","$$$$$MIGRAZIONE$$$$$","$$$$$MIGRAZIONE$$$$$","1"
"2003","CASSA_BANCA","Scrittura cassa banca","A","NULL","NULL","2003-09-10T13:18:02.000","2003-09-10T13:18:02.000","$$$$$MIGRAZIONE$$$$$","$$$$$MIGRAZIONE$$$$$","1"
"2003","LIQUID_IVA_VENDITE","Liquidazione IVA vendite","A","NULL","NULL","2003-09-10T13:18:02.000","2003-09-10T13:18:02.000","$$$$$MIGRAZIONE$$$$$","$$$$$MIGRAZIONE$$$$$","1"
"2003","LIQUID_IVA_ACQUISTI","Liquidazione IVA acquisti","A","NULL","NULL","2003-09-10T13:18:02.000","2003-09-10T13:18:02.000","$$$$$MIGRAZIONE$$$$$","$$$$$MIGRAZIONE$$$$$","1"
"2003","LIQUID_IVA_SALDO","Liquidazione IVA saldo versato","A","NULL","NULL","2003-09-10T13:18:02.000","2003-09-10T13:18:02.000","$$$$$MIGRAZIONE$$$$$","$$$$$MIGRAZIONE$$$$$","1"
"2004","AMMORTAMENTO","Ammortamento","A","NULL","NULL","2003-11-21T16:04:11.000","2003-11-21T16:04:11.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"2004","ANNULLAMENTO_DOC_ESERCIZIO_CHIUSO","Annullamento (congelamento) di documento amministrativo di esercizio chiuso","A","NULL","NULL","2003-11-21T16:04:11.000","2003-11-21T16:04:11.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"2004","CHIUSURA_CONTO_ECONOMICO","Chiusura del conto economico","A","NULL","NULL","2003-11-21T16:04:11.000","2003-11-21T16:04:11.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"2004","CHIUSURA_STATO_PATRIMONIALE","Chiusura dello stato patrimoniale","A","NULL","NULL","2003-11-21T16:04:11.000","2003-11-21T16:04:11.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"2004","DETERMINAZIONE_UTILE_PERDITA","Determinazione utile/perdita d'esercizio","A","NULL","NULL","2003-11-21T16:04:11.000","2003-11-21T16:04:11.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"2004","DISMISSIONE_BENE_DUREVOLE","Dismissione di bene durevole","A","NULL","NULL","2003-11-21T16:04:11.000","2003-11-21T16:04:11.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"2004","PERDITE_SU_CAMBI","Perdite su cambi per crediti/debiti","A","NULL","NULL","2003-11-21T16:04:11.000","2003-11-21T16:04:11.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"2004","RATEI","Ratei","A","NULL","NULL","2003-11-21T16:04:11.000","2003-11-21T16:04:11.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"2004","RATEI_P2","Ratei parte 2","A","NULL","NULL","2003-11-21T16:04:11.000","2003-11-21T16:04:11.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"2004","RIAPERTURA_CONTI","Riapertura dei conti","A","NULL","NULL","2003-11-21T16:04:11.000","2003-11-21T16:04:11.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"2004","RISCONTI","Risconti","A","NULL","NULL","2003-11-21T16:04:11.000","2003-11-21T16:04:11.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"2004","RISCONTI_P2","Risconti parte 2","A","NULL","NULL","2003-11-21T16:04:11.000","2003-11-21T16:04:11.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"2004","UTILE_SU_CAMBI","Utile su cambi per crediti/debiti","A","NULL","NULL","2003-11-21T16:04:11.000","2003-11-21T16:04:11.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"2004","PAGAMENTO_1210","Pagamento documento con modulo 1210","A","NULL","NULL","2003-11-21T16:04:11.000","2003-11-21T16:04:11.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"2004","CASSA_BANCA","Scrittura cassa banca","A","NULL","NULL","2003-11-21T16:04:11.000","2003-11-21T16:04:11.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"2004","LIQUID_IVA_VENDITE","Liquidazione IVA vendite","A","NULL","NULL","2003-11-21T16:04:11.000","2003-11-21T16:04:11.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"2004","LIQUID_IVA_ACQUISTI","Liquidazione IVA acquisti","A","NULL","NULL","2003-11-21T16:04:11.000","2003-11-21T16:04:11.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"2004","LIQUID_IVA_SALDO","Liquidazione IVA saldo versato","A","NULL","NULL","2003-11-21T16:04:11.000","2003-11-21T16:04:11.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"2003","CARICO_BENE_DUREVOLE","Carico di bene durevole","A","NULL","NULL","2004-06-24T13:50:14.000","2004-06-24T13:50:14.000","$$$$$MIGRAZIONE$$$$$","$$$$$MIGRAZIONE$$$$$","1"
"2004","CARICO_BENE_DUREVOLE","Carico di bene durevole","A","NULL","NULL","2004-06-24T13:50:14.000","2004-06-24T13:50:14.000","$$$$$MIGRAZIONE$$$$$","$$$$$MIGRAZIONE$$$$$","1"
"2004","MIGRAZIONE_BENI","Migrazione beni durevoli","A","NULL","NULL","2004-11-17T16:54:35.000","2004-11-17T16:54:35.000","$$$$$MIGRAZIONE$$$$$","$$$$$MIGRAZIONE$$$$$","1"
"2004","DISMISSIONE_BENE_DUREVOLE_TRASF","Dismissione di bene durevole da trasferimento","A","NULL","NULL","2004-11-17T16:54:35.000","2004-11-17T16:54:35.000","$$$$$MIGRAZIONE$$$$$","$$$$$MIGRAZIONE$$$$$","1"
"2004","CARICO_BENE_DUREVOLE_TRASF","Carico di bene durevole da trasferimento","A","NULL","NULL","2004-11-17T16:54:35.000","2004-11-17T16:54:35.000","$$$$$MIGRAZIONE$$$$$","$$$$$MIGRAZIONE$$$$$","1"
"2012","DISMISSIONE_BENE_DUREVOLE_TRASF","Dismissione di bene durevole da trasferimento","A","NULL","NULL","2011-12-29T12:10:30.000","2011-12-29T12:10:30.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"2012","CARICO_BENE_DUREVOLE_TRASF","Carico di bene durevole da trasferimento","A","NULL","NULL","2011-12-29T12:10:30.000","2011-12-29T12:10:30.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"2012","ANNULLAMENTO_RIGHE_DOC_ESERCIZIO_CHIUSO","Annullamento di righe di documento amministrativo di esercizio chiuso","A","NULL","NULL","2011-12-29T12:10:30.000","2011-12-29T12:10:30.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"2012","RATEI_QUOTA","Ratei (competenza parzialmente in esercizio precedente)","A","NULL","NULL","2011-12-29T12:10:30.000","2011-12-29T12:10:30.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"2012","RATEI_QUOTA_P2","Ratei parte 2 (competenza parzialmente in esercizio precedente)","A","NULL","NULL","2011-12-29T12:10:30.000","2011-12-29T12:10:30.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"2005","AMMORTAMENTO","Ammortamento","A","NULL","NULL","2004-12-30T12:04:56.000","2004-12-30T12:04:56.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"2005","ANNULLAMENTO_DOC_ESERCIZIO_CHIUSO","Annullamento (congelamento) di documento amministrativo di esercizio chiuso","A","NULL","NULL","2004-12-30T12:04:56.000","2004-12-30T12:04:56.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"2005","CHIUSURA_CONTO_ECONOMICO","Chiusura del conto economico","A","NULL","NULL","2004-12-30T12:04:56.000","2004-12-30T12:04:56.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"2005","CHIUSURA_STATO_PATRIMONIALE","Chiusura dello stato patrimoniale","A","NULL","NULL","2004-12-30T12:04:56.000","2004-12-30T12:04:56.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
