"esercizio","cd_catastale","ds_nazione","dacr","utcr","duva","utuv","pg_ver_rec","cd_nazione"
"2017","Z361","GIBUTI","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","1","113"
"2017","Z524","GRENADA","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","1","156"
"2017","Z509","GUATEMALA","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","1","033"
"2017","Z114","GUERNSEY","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","1","201"
"2017","Z210","HONG KONG","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","1","103"
"2017","Z724","SALOMONE ISOLE","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","1","191"
"2017","Z114","JERSEY C.I.","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","1","202"
"2017","Z215","EMIRATI ARABI UNITI","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","1","239"
"2017","Z726","SAMOA","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","1","131"
"2017","Z101","ANDORRA","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","1","004"
"2017","Z302","ANGOLA","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","1","133"
"2017","Z529","ANGUILLA","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","1","209"
"2017","Z532","ANTIGUA E BARBUDA","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","1","197"
"2017","Z501","ANTILLE OLANDESI","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","1","251"
"2017","*","ARUBA","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","1","212"
"2017","Z502","BAHAMAS","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","1","160"
"2017","Z204","BAHRAIN","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","1","169"
"2017","Z522","BARBADOS","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","1","118"
"2017","Z512","BELIZE","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","1","198"
"2017","Z400","BERMUDA","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","1","207"
"2017","Z207","BRUNEI","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","1","125"
"2017","Z322","KENYA","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","1","116"
"2017","Z731","KIRIBATI","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","1","194"
"2017","Z229","LIBANO","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","1","095"
"2017","Z325","LIBERIA","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","1","044"
"2017","Z119","LIECHTENSTEIN","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","1","090"
"2017","Z120","LUSSEMBURGO","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","1","092"
"2017","Z231","MACAO","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","1","059"
"2017","Z247","MALAYSIA","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","1","106"
"2017","Z232","MALDIVE","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","1","127"
"2017","Z122","MAN ISOLA","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","1","203"
"2017","Z711","ISOLE MARSHALL","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","1","217"
"2017","Z332","MAURITIUS","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","1","128"
"2017","Z133","SVIZZERA","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","1","071"
"2017","Z531","MONTSERRAT","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","1","208"
"2017","Z123","PRINCIPATO DI MONACO","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","1","091"
"2017","Z713","NAURU","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","1","109"
"2017","Z714","NIUE","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","1","205"
