"pg_comune","cd_cap","utcr","duva","utuv","dacr","pg_ver_rec"
"5562","00149","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5562","00150","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5562","00151","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5562","00152","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5562","00153","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5562","00154","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5562","00155","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5562","00156","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5562","00157","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5562","00158","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5562","00159","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5562","00160","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5562","00161","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5562","00162","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5562","00163","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5562","00164","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5562","00165","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5562","00166","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5562","00167","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5562","00168","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5562","00169","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5562","00170","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5562","00171","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5562","00172","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5562","00173","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5562","00174","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5562","00175","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5562","00176","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5562","00177","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5562","00178","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5562","00179","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
